country,sex,year,not_classified_000
bmu,m,2012,0.032999999821186066
bmu,f,2012,0.012000000104308128
bol,mf,1999,68.5999984741211
bol,m,1999,3.4000000953674316
bol,f,1999,65.19999694824219
bol,mf,2000,93.5
bol,m,2000,2.0
bol,f,2000,91.5
bol,mf,2001,118.5
bol,m,2001,4.599999904632568
bol,f,2001,114.0
bol,mf,2002,89.30000305175781
bol,m,2002,3.0999999046325684
bol,f,2002,86.19999694824219
bol,mf,2006,0.5109999775886536
bol,m,2006,0.12099999934434891
bol,f,2006,0.38999998569488525
bol,mf,2007,157.0
bol,m,2007,6.800000190734863
bol,f,2007,150.1999969482422
bwa,mf,1984,0.14000000059604645
bwa,m,1984,0.10000000149011612
bwa,f,1984,0.03999999910593033
bwa,mf,2010,94.18499755859375
bwa,m,2010,50.09199905395508
bwa,f,2010,44.09299850463867
bra,mf,1990,0.23899999260902405
bra,m,1990,0.23899999260902405
bra,f,1990,0.0
bra,mf,1992,0.4339999854564667
bra,m,1992,0.21699999272823334
bra,f,1992,0.21699999272823334
bra,mf,1993,0.3619999885559082
bra,m,1993,0.3619999885559082
bra,f,1993,0.0
bra,mf,1995,8.119999885559082
bra,m,1995,4.326000213623047
bra,f,1995,3.7939999103546143
bra,mf,1996,25.177000045776367
bra,m,1996,17.673999786376953
bra,f,1996,7.502999782562256
bra,mf,2000,2033.1409912109375
bra,m,2000,1406.509033203125
bra,f,2000,626.6320190429688
bra,mf,2001,3.0
bra,m,2001,2.0
bra,f,2001,1.0
bra,mf,2002,3.0
bra,m,2002,2.0
bra,f,2002,0.0
bra,mf,2003,0.0
bra,m,2003,0.0
bra,f,2003,0.0
bra,mf,2004,0.0
bra,m,2004,0.0
bra,f,2004,0.0
bra,mf,2005,4021.0
bra,m,2005,1341.0
bra,f,2005,2679.0
bra,mf,2006,4177.0
bra,m,2006,1508.0
bra,f,2006,2669.0
bra,mf,2007,4036.0
bra,m,2007,1572.0
bra,f,2007,2464.0
bra,mf,2008,4161.27490234375
bra,m,2008,1642.655029296875
bra,f,2008,2518.6201171875
bra,mf,2009,3883.575927734375
bra,m,2009,1615.489013671875
bra,f,2009,2268.0869140625
bra,mf,2011,3860.571044921875
bra,m,2011,1812.3690185546875
bra,f,2011,2048.201904296875
bra,mf,2012,3771.468994140625
bra,m,2012,1743.696044921875
bra,f,2012,2027.77294921875
bra,mf,2013,4342.0341796875
bra,m,2013,2027.4210205078125
bra,f,2013,2314.613037109375
vgb,mf,1991,0.050999999046325684
vgb,m,1991,0.03099999949336052
