country,sex,year,total_self_employed_workers_a_b_c_d
aus,mf,1980,16.0
aus,m,1980,17.799999237060547
aus,f,1980,12.899999618530273
aus,mf,1981,15.600000381469727
aus,m,1981,17.299999237060547
aus,f,1981,12.699999809265137
aus,mf,1982,15.699999809265137
aus,m,1982,17.399999618530273
aus,f,1982,12.699999809265137
aus,mf,1983,15.600000381469727
aus,m,1983,17.399999618530273
aus,f,1983,12.699999809265137
aus,mf,1984,15.699999809265137
aus,m,1984,17.700000762939453
aus,f,1984,12.300000190734863
aus,mf,1985,15.0
aus,m,1985,16.899999618530273
aus,f,1985,12.0
aus,mf,1986,15.300000190734863
aus,m,1986,17.0
aus,f,1986,12.699999809265137
aus,mf,1987,15.0
aus,m,1987,16.799999237060547
aus,f,1987,12.300000190734863
aus,mf,1988,15.100000381469727
aus,m,1988,16.899999618530273
aus,f,1988,12.300000190734863
aus,mf,1989,14.5
aus,m,1989,16.399999618530273
aus,f,1989,11.699999809265137
aus,mf,1990,14.399999618530273
aus,m,1990,16.399999618530273
aus,f,1990,11.600000381469727
aus,mf,1991,15.5
aus,m,1991,17.700000762939453
aus,f,1991,12.5
aus,mf,1992,15.899999618530273
aus,m,1992,18.299999237060547
aus,f,1992,12.699999809265137
aus,mf,1993,16.299999237060547
aus,m,1993,18.700000762939453
aus,f,1993,12.899999618530273
aus,mf,1994,15.699999809265137
aus,m,1994,18.100000381469727
aus,f,1994,12.399999618530273
aus,mf,1995,15.199999809265137
aus,m,1995,17.700000762939453
aus,f,1995,12.0
aus,mf,1996,15.0
aus,m,1996,17.399999618530273
aus,f,1996,11.800000190734863
aus,mf,1997,15.0
aus,m,1997,17.200000762939453
aus,f,1997,12.100000381469727
aus,mf,1998,14.600000381469727
aus,m,1998,17.100000381469727
aus,f,1998,11.399999618530273
aus,mf,1999,14.399999618530273
aus,m,1999,17.0
aus,f,1999,11.0
aus,mf,2000,14.0
aus,m,2000,16.600000381469727
aus,f,2000,10.699999809265137
aus,mf,2001,13.699999809265137
aus,m,2001,16.5
aus,f,2001,10.199999809265137
aus,mf,2002,13.800000190734863
aus,m,2002,16.600000381469727
aus,f,2002,10.399999618530273
aus,mf,2003,13.399999618530273
aus,m,2003,16.200000762939453
aus,f,2003,10.0
aus,mf,2004,13.199999809265137
aus,m,2004,15.899999618530273
aus,f,2004,9.800000190734863
aus,mf,2005,12.899999618530273
aus,m,2005,15.5
aus,f,2005,9.800000190734863
aus,mf,2006,12.5
aus,m,2006,15.100000381469727
aus,f,2006,9.300000190734863
aus,mf,2007,11.899999618530273
aus,m,2007,14.399999618530273
aus,f,2007,8.899999618530273
aus,mf,2008,11.699999809265137
aus,m,2008,14.0
aus,f,2008,8.899999618530273
aus,mf,2009,11.800000190734863
aus,m,2009,14.300000190734863
aus,f,2009,8.800000190734863
aus,mf,2010,11.800000190734863
aus,m,2010,14.199999809265137
aus,f,2010,9.0
aus,mf,2011,11.300000190734863
aus,m,2011,13.5
aus,f,2011,8.800000190734863
aus,mf,2012,10.600000381469727
aus,m,2012,12.399999618530273
aus,f,2012,8.5
aus,mf,2013,10.399999618530273
aus,m,2013,12.199999809265137
aus,f,2013,8.100000381469727
aut,mf,1985,14.899999618530273
aut,mf,1986,14.800000190734863
aut,mf,1987,14.899999618530273
aut,mf,1988,14.699999809265137
aut,mf,1989,14.199999809265137
aut,mf,1990,14.199999809265137
aut,mf,1991,13.899999618530273
aut,mf,1992,13.399999618530273
aut,mf,1993,13.100000381469727
aut,mf,1994,13.800000190734863
aut,mf,1995,14.300000190734863
aut,m,1995,14.399999618530273
aut,f,1995,14.100000381469727
aut,mf,1996,14.399999618530273
aut,m,1996,14.600000381469727
aut,f,1996,14.300000190734863
aut,mf,1997,13.899999618530273
aut,m,1997,14.300000190734863
aut,f,1997,13.300000190734863
aut,mf,1998,13.800000190734863
aut,m,1998,14.300000190734863
aut,f,1998,13.100000381469727
aut,mf,1999,13.699999809265137
aut,m,1999,14.100000381469727
aut,f,1999,13.100000381469727
aut,mf,2000,13.5
aut,m,2000,14.300000190734863
aut,f,2000,12.5
aut,mf,2001,13.399999618530273
aut,m,2001,14.300000190734863
aut,f,2001,12.300000190734863
aut,mf,2002,13.5
aut,m,2002,14.600000381469727
aut,f,2002,12.100000381469727
aut,mf,2003,13.0
aut,m,2003,14.300000190734863
aut,f,2003,11.5
aut,mf,2004,12.5
aut,m,2004,14.800000190734863
aut,f,2004,9.899999618530273
aut,mf,2005,13.0
aut,m,2005,15.100000381469727
aut,f,2005,10.399999618530273
aut,mf,2006,13.0
aut,m,2006,15.100000381469727
aut,f,2006,10.5
aut,mf,2007,13.699999809265137
aut,m,2007,15.5
aut,f,2007,11.5
aut,mf,2008,13.5
aut,m,2008,15.600000381469727
aut,f,2008,11.100000381469727
aut,mf,2009,13.600000381469727
aut,m,2009,15.800000190734863
aut,f,2009,11.199999809265137
aut,mf,2010,13.800000190734863
aut,m,2010,16.100000381469727
aut,f,2010,11.199999809265137
aut,mf,2011,13.300000190734863
aut,m,2011,15.5
aut,f,2011,10.699999809265137
aut,mf,2012,13.100000381469727
aut,m,2012,15.399999618530273
aut,f,2012,10.5
aut,mf,2013,13.199999809265137
aut,m,2013,15.5
aut,f,2013,10.600000381469727
aut,mf,2014,13.300000190734863
