country,sex,year,employers_a_000
brb,m,1999,0.30000001192092896
brb,f,1999,0.10000000149011612
brb,mf,2000,0.30000001192092896
brb,m,2000,0.20000000298023224
brb,f,2000,0.10000000149011612
brb,mf,2001,0.800000011920929
brb,m,2001,0.6000000238418579
brb,f,2001,0.20000000298023224
brb,mf,2002,0.5
brb,m,2002,0.30000001192092896
brb,f,2002,0.10000000149011612
brb,mf,2003,1.0
brb,m,2003,0.699999988079071
brb,f,2003,0.30000001192092896
brb,mf,2004,1.600000023841858
brb,m,2004,1.2999999523162842
brb,f,2004,0.30000001192092896
brb,mf,2013,1.100000023841858
brb,m,2013,0.699999988079071
brb,f,2013,0.4000000059604645
blr,mf,2009,48.52399826049805
blr,m,2009,33.33100128173828
blr,f,2009,15.192999839782715
bel,mf,1983,61.52000045776367
bel,m,1983,55.840999603271484
bel,f,1983,5.678999900817871
bel,mf,1984,57.73699951171875
bel,m,1984,51.150001525878906
bel,f,1984,6.586999893188477
bel,mf,1985,58.452999114990234
bel,m,1985,52.29399871826172
bel,f,1985,6.158999919891357
bel,mf,1986,64.08599853515625
bel,m,1986,58.19499969482422
bel,f,1986,5.892000198364258
bel,mf,1987,51.20000076293945
bel,m,1987,46.034000396728516
bel,f,1987,5.165999889373779
bel,mf,1988,47.66400146484375
bel,m,1988,42.277000427246094
bel,f,1988,5.38700008392334
bel,mf,1989,54.03499984741211
bel,m,1989,47.96099853515625
bel,f,1989,6.073999881744385
bel,mf,1990,60.465999603271484
bel,m,1990,52.89899826049805
bel,f,1990,7.566999912261963
bel,mf,1991,51.21799850463867
bel,m,1991,45.4630012512207
bel,f,1991,5.755000114440918
bel,mf,1992,60.194000244140625
bel,m,1992,52.742000579833984
bel,f,1992,7.453000068664551
bel,mf,1993,78.6780014038086
bel,m,1993,67.21299743652344
bel,f,1993,11.46500015258789
bel,mf,1994,60.54600143432617
bel,m,1994,52.9630012512207
bel,f,1994,7.583000183105469
bel,mf,1995,72.14600372314453
bel,m,1995,62.20500183105469
bel,f,1995,9.940999984741211
bel,mf,1996,70.06199645996094
bel,m,1996,61.2140007019043
bel,f,1996,8.848999977111816
bel,mf,1997,54.84700012207031
bel,m,1997,47.832000732421875
bel,f,1997,7.014999866485596
bel,mf,1998,69.93099975585938
bel,m,1998,56.94499969482422
bel,f,1998,12.987000465393066
bel,mf,1999,177.79200744628906
bel,m,1999,138.71099853515625
bel,f,1999,39.08000183105469
bel,mf,2000,186.6439971923828
bel,m,2000,146.8419952392578
bel,f,2000,39.801998138427734
bel,mf,2001,181.45599365234375
bel,m,2001,147.2220001220703
bel,f,2001,34.23400115966797
bel,mf,2002,163.6529998779297
bel,m,2002,127.68499755859375
bel,f,2002,35.96799850463867
bel,mf,2003,167.62899780273438
bel,m,2003,131.19900512695312
bel,f,2003,36.43000030517578
bel,mf,2004,187.7220001220703
bel,m,2004,147.35000610351562
bel,f,2004,40.37200164794922
bel,mf,2005,196.88099670410156
bel,m,2005,154.22900390625
bel,f,2005,42.652000427246094
bel,mf,2006,199.25599670410156
bel,m,2006,154.08200073242188
bel,f,2006,45.17399978637695
bel,mf,2007,197.4510040283203
bel,m,2007,153.33299255371094
bel,f,2007,44.11800003051758
bel,mf,2008,186.8730010986328
bel,m,2008,145.42599487304688
bel,f,2008,41.44599914550781
bel,mf,2009,197.7530059814453
bel,m,2009,152.23899841308594
bel,f,2009,45.513999938964844
bel,mf,2010,200.6529998779297
bel,m,2010,151.84100341796875
bel,f,2010,48.8120002746582
bel,mf,2011,186.3419952392578
bel,m,2011,147.72000122070312
bel,f,2011,38.62300109863281
bel,mf,2012,185.22000122070312
bel,m,2012,142.53199768066406
bel,f,2012,42.68899917602539
bel,mf,2013,194.76400756835938
bel,m,2013,147.51600646972656
bel,f,2013,47.24800109863281
bel,mf,2014,186.68899536132812
bel,m,2014,136.7949981689453
bel,f,2014,49.89500045776367
blz,mf,1995,3.8350000381469727
blz,m,1995,3.325000047683716
blz,f,1995,0.5099999904632568
blz,mf,1996,4.835000038146973
blz,m,1996,4.099999904632568
blz,f,1996,0.7350000143051147
blz,mf,2005,6.955999851226807
blz,m,2005,5.447999954223633
blz,f,2005,1.5080000162124634
ben,mf,2010,27.10700035095215
ben,m,2010,20.868999481201172
ben,f,2010,6.23799991607666
bmu,mf,2009,2.0959999561309814
bmu,m,2009,1.5089999437332153
bmu,f,2009,0.5870000123977661
bmu,mf,2010,1.2979999780654907
bmu,m,2010,0.9419999718666077
bmu,f,2010,0.35600000619888306
bmu,mf,2012,3.493000030517578
bmu,m,2012,2.0390000343322754
bmu,f,2012,1.4539999961853027
btn,mf,2006,0.4000000059604645
btn,m,2006,0.4000000059604645
btn,f,2006,0.0
btn,mf,2009,0.6880000233650208
btn,m,2009,0.4059999883174896
btn,f,2009,0.3009999990463257
btn,mf,2010,0.4000000059604645
btn,m,2010,0.20000000298023224
btn,f,2010,0.20000000298023224
btn,mf,2011,0.699999988079071
btn,m,2011,0.4000000059604645
btn,f,2011,0.30000001192092896
btn,mf,2012,64.15399932861328
btn,m,2012,33.49700164794922
btn,f,2012,30.656999588012695
bol,mf,1989,18.670000076293945
bol,m,1989,15.859999656677246
bol,f,1989,2.799999952316284
bol,mf,1990,32.689998626708984
bol,m,1990,27.149999618530273
bol,f,1990,5.539999961853027
bol,mf,1991,42.2599983215332
bol,m,1991,34.66999816894531
bol,f,1991,7.590000152587891
bol,mf,1992,56.5099983215332
bol,m,1992,45.59000015258789
bol,f,1992,10.920000076293945
bol,mf,1993,69.04000091552734
bol,m,1993,55.52000045776367
bol,f,1993,13.520000457763672
bol,mf,1994,90.91999816894531
bol,m,1994,72.5199966430664
bol,f,1994,18.399999618530273
bol,mf,1995,97.86000061035156
bol,m,1995,79.73999786376953
bol,f,1995,18.1200008392334
bol,mf,1996,150.88999938964844
bol,m,1996,119.27999877929688
bol,f,1996,31.600000381469727
bol,mf,1997,133.22000122070312
bol,m,1997,110.23999786376953
bol,f,1997,22.979999542236328
bol,mf,1999,107.0
bol,m,1999,84.0999984741211
bol,f,1999,22.899999618530273
bol,mf,2000,70.69999694824219
bol,m,2000,54.900001525878906
bol,f,2000,16.0
bol,mf,2001,85.69999694824219
bol,m,2001,60.900001525878906
bol,f,2001,24.799999237060547
bol,mf,2002,170.1999969482422
bol,m,2002,136.10000610351562
bol,f,2002,34.0
bol,mf,2003,200.25999450683594
bol,m,2003,163.12100219726562
bol,f,2003,37.138999938964844
bol,mf,2004,200.25999450683594
bol,m,2004,163.12100219726562
bol,f,2004,37.138999938964844
bol,mf,2005,224.6269989013672
bol,m,2005,169.83099365234375
bol,f,2005,54.79600143432617
bol,mf,2006,201.1580047607422
bol,m,2006,158.65699768066406
bol,f,2006,42.500999450683594
bol,mf,2007,252.5
bol,m,2007,184.89999389648438
bol,f,2007,67.5
bol,mf,2008,282.65399169921875
bol,m,2008,217.01800537109375
bol,f,2008,65.63600158691406
bol,mf,2009,242.4429931640625
bol,m,2009,182.57699584960938
bol,f,2009,59.86600112915039
bol,mf,2011,289.5199890136719
bol,m,2011,222.64100646972656
bol,f,2011,66.87899780273438
bwa,mf,1984,1.7000000476837158
bwa,m,1984,1.0099999904632568
bwa,f,1984,0.699999988079071
bwa,mf,1994,6.313000202178955
bwa,m,1994,4.236999988555908
bwa,f,1994,2.0759999752044678
bwa,mf,2006,20.100000381469727
bwa,m,2006,13.600000381469727
bwa,f,2006,6.5
bwa,mf,2010,15.751999855041504
bwa,m,2010,10.086000442504883
bwa,f,2010,5.666999816894531
bra,mf,1990,2851.123046875
bra,m,1990,2396.714111328125
bra,f,1990,454.40899658203125
bra,mf,1992,2406.416015625
bra,m,1992,2014.0830078125
bra,f,1992,392.3299865722656
bra,mf,1993,2368.486083984375
bra,m,1993,1980.89599609375
bra,f,1993,387.5899963378906
bra,mf,1995,2732.131103515625
bra,m,1995,2197.694091796875
bra,f,1995,534.43701171875
bra,mf,1996,2483.712890625
bra,m,1996,1948.1810302734375
bra,f,1996,535.531982421875
bra,mf,2000,1897.842041015625
