country,sex,year,share_of_vulnerable_employment_in_total_employment_percentage
aze,mf,2013,56.400001525878906
aze,m,2013,51.099998474121094
aze,f,2013,62.099998474121094
bhs,mf,1998,14.800000190734863
bhs,m,1998,18.5
bhs,f,1998,10.800000190734863
bhs,mf,1999,15.899999618530273
bhs,m,1999,20.0
bhs,f,1999,11.100000381469727
bhr,mf,2002,2.299999952316284
bhr,m,2002,2.5999999046325684
bhr,f,2002,1.2000000476837158
bhr,mf,2003,2.200000047683716
bhr,m,2003,2.5
bhr,f,2003,1.100000023841858
bhr,mf,2004,2.0
bhr,m,2004,2.4000000953674316
bhr,f,2004,0.5
bhr,mf,2005,2.200000047683716
bhr,m,2005,2.4000000953674316
bhr,f,2005,1.100000023841858
bhr,mf,2006,2.200000047683716
bhr,m,2006,2.4000000953674316
bhr,f,2006,1.100000023841858
bhr,mf,2007,2.0999999046325684
bhr,m,2007,2.299999952316284
bhr,f,2007,1.100000023841858
bhr,mf,2008,2.0
bhr,m,2008,2.200000047683716
bhr,f,2008,1.100000023841858
bhr,mf,2009,2.0
bhr,m,2009,2.200000047683716
bhr,f,2009,1.100000023841858
bhr,mf,2010,2.0
bhr,m,2010,2.200000047683716
bhr,f,2010,1.100000023841858
bgd,mf,1996,69.4000015258789
bgd,m,1996,59.79999923706055
bgd,f,1996,85.0
bgd,mf,2000,68.9000015258789
bgd,m,2000,59.70000076293945
bgd,f,2000,84.19999694824219
bgd,mf,2003,83.0999984741211
bgd,m,2003,83.4000015258789
bgd,f,2003,82.19999694824219
bgd,mf,2005,85.0
bgd,m,2005,84.5
bgd,f,2005,86.5
bgd,mf,2010,62.5
bgd,m,2010,54.400001525878906
bgd,f,2010,81.4000015258789
bgd,mf,2011,57.79999923706055
bgd,m,2011,60.79999923706055
bgd,f,2011,38.0
brb,mf,1990,11.699999809265137
brb,m,1990,14.399999618530273
brb,f,1990,8.600000381469727
brb,mf,1991,11.800000190734863
brb,m,1991,14.800000190734863
brb,f,1991,8.100000381469727
brb,mf,1992,12.399999618530273
brb,m,1992,15.399999618530273
brb,f,1992,9.199999809265137
brb,mf,1993,13.199999809265137
brb,m,1993,16.200000762939453
brb,f,1993,9.699999809265137
brb,mf,1994,12.300000190734863
brb,m,1994,14.600000381469727
brb,f,1994,9.399999618530273
brb,mf,1995,12.300000190734863
brb,m,1995,14.899999618530273
brb,f,1995,9.199999809265137
brb,mf,1996,12.399999618530273
brb,m,1996,15.300000190734863
brb,f,1996,9.300000190734863
brb,mf,1997,11.600000381469727
brb,m,1997,15.0
brb,f,1997,7.800000190734863
brb,mf,1998,11.899999618530273
brb,m,1998,14.899999618530273
brb,f,1998,8.399999618530273
brb,mf,1999,13.699999809265137
brb,m,1999,17.399999618530273
brb,f,1999,9.0
brb,mf,2000,12.5
brb,m,2000,16.600000381469727
brb,f,2000,7.900000095367432
brb,mf,2001,13.399999618530273
brb,m,2001,17.600000381469727
brb,f,2001,9.0
brb,mf,2002,13.699999809265137
brb,m,2002,17.700000762939453
brb,f,2002,9.0
brb,mf,2003,13.600000381469727
brb,m,2003,18.399999618530273
brb,f,2003,8.399999618530273
brb,mf,2004,14.0
brb,m,2004,17.899999618530273
brb,f,2004,9.899999618530273
blr,mf,2009,2.0999999046325684
blr,m,2009,2.5
blr,f,2009,1.7000000476837158
bel,mf,1983,16.5
bel,m,1983,15.399999618530273
bel,f,1983,18.700000762939453
bel,mf,1984,18.299999237060547
bel,m,1984,16.899999618530273
bel,f,1984,21.0
bel,mf,1985,18.299999237060547
bel,m,1985,17.399999618530273
bel,f,1985,20.0
bel,mf,1986,17.299999237060547
bel,m,1986,16.5
bel,f,1986,18.600000381469727
bel,mf,1987,16.899999618530273
bel,m,1987,17.0
bel,f,1987,16.899999618530273
bel,mf,1988,16.600000381469727
bel,m,1988,16.799999237060547
bel,f,1988,16.200000762939453
bel,mf,1989,17.700000762939453
bel,m,1989,18.100000381469727
bel,f,1989,17.100000381469727
bel,mf,1990,17.299999237060547
bel,m,1990,17.700000762939453
bel,f,1990,16.5
bel,mf,1991,15.899999618530273
bel,m,1991,16.5
bel,f,1991,14.899999618530273
bel,mf,1992,16.299999237060547
bel,m,1992,16.5
bel,f,1992,15.899999618530273
bel,mf,1993,15.800000190734863
bel,m,1993,16.200000762939453
bel,f,1993,15.199999809265137
bel,mf,1994,16.100000381469727
bel,m,1994,17.0
bel,f,1994,14.800000190734863
bel,mf,1995,16.0
bel,m,1995,16.299999237060547
bel,f,1995,15.699999809265137
bel,mf,1996,16.100000381469727
bel,m,1996,16.700000762939453
bel,f,1996,15.300000190734863
bel,mf,1997,15.800000190734863
bel,m,1997,16.600000381469727
bel,f,1997,14.600000381469727
bel,mf,1998,15.600000381469727
bel,m,1998,16.5
bel,f,1998,14.199999809265137
bel,mf,1999,12.800000190734863
bel,m,1999,12.199999809265137
bel,f,1999,13.699999809265137
bel,mf,2000,11.5
bel,m,2000,11.5
bel,f,2000,11.5
bel,mf,2001,10.699999809265137
bel,m,2001,10.5
bel,f,2001,11.0
bel,mf,2002,11.399999618530273
bel,m,2002,11.399999618530273
bel,f,2002,11.399999618530273
bel,mf,2003,11.0
bel,m,2003,11.300000190734863
bel,f,2003,10.699999809265137
bel,mf,2004,10.199999809265137
bel,m,2004,10.699999809265137
bel,f,2004,9.399999618530273
bel,mf,2005,10.600000381469727
bel,m,2005,11.100000381469727
bel,f,2005,10.0
bel,mf,2006,10.399999618530273
bel,m,2006,11.199999809265137
bel,f,2006,9.399999618530273
bel,mf,2007,10.300000190734863
bel,m,2007,11.199999809265137
bel,f,2007,9.300000190734863
bel,mf,2008,10.0
bel,m,2008,11.100000381469727
bel,f,2008,8.699999809265137
bel,mf,2009,10.300000190734863
bel,m,2009,11.399999618530273
bel,f,2009,9.0
bel,mf,2010,9.899999618530273
bel,m,2010,11.100000381469727
bel,f,2010,8.399999618530273
bel,mf,2011,10.199999809265137
bel,m,2011,11.5
bel,f,2011,8.600000381469727
bel,mf,2012,10.300000190734863
bel,m,2012,11.800000190734863
bel,f,2012,8.399999618530273
bel,mf,2013,10.800000190734863
bel,m,2013,12.800000190734863
bel,f,2013,8.399999618530273
bel,mf,2014,10.5
bel,m,2014,12.199999809265137
bel,f,2014,8.5
blz,mf,1995,25.5
blz,m,1995,26.799999237060547
blz,f,1995,22.399999618530273
blz,mf,1996,26.600000381469727
blz,m,1996,29.0
