country,sex,year,contributing_family_workers_d_000
blz,mf,2005,3.871000051498413
blz,m,2005,2.4240000247955322
blz,f,2005,1.4500000476837158
ben,mf,2003,432.5459899902344
ben,m,2003,182.12600708007812
ben,f,2003,250.4199981689453
ben,mf,2010,327.2829895019531
ben,m,2010,92.02100372314453
ben,f,2010,235.26199340820312
bmu,mf,2009,0.014999999664723873
bmu,m,2009,0.0
bmu,f,2009,0.014999999664723873
bmu,mf,2010,0.04899999871850014
bmu,m,2010,0.014999999664723873
bmu,f,2010,0.03400000184774399
bmu,mf,2012,0.09200000017881393
bmu,m,2012,0.09200000017881393
bmu,f,2012,0.0
btn,mf,2006,119.5999984741211
btn,m,2006,57.79999923706055
btn,f,2006,62.099998474121094
btn,mf,2009,161.93699645996094
btn,m,2009,68.33799743652344
btn,f,2009,93.5790023803711
btn,mf,2010,133.1999969482422
btn,m,2010,57.79999923706055
btn,f,2010,75.4000015258789
btn,mf,2011,94.30000305175781
btn,m,2011,41.5
btn,f,2011,52.79999923706055
btn,mf,2012,10.854000091552734
btn,m,2012,5.5320000648498535
btn,f,2012,5.322000026702881
bol,mf,1989,51.04999923706055
bol,m,1989,20.940000534057617
bol,f,1989,30.110000610351562
bol,mf,1990,44.779998779296875
bol,m,1990,19.559999465942383
bol,f,1990,25.219999313354492
bol,mf,1991,59.58000183105469
bol,m,1991,23.34000015258789
bol,f,1991,36.2400016784668
bol,mf,1992,54.31999969482422
bol,m,1992,20.559999465942383
bol,f,1992,33.7599983215332
bol,mf,1993,81.44999694824219
bol,m,1993,25.40999984741211
bol,f,1993,56.040000915527344
bol,mf,1994,96.87999725341797
bol,m,1994,31.200000762939453
bol,f,1994,65.68000030517578
bol,mf,1995,131.30999755859375
bol,m,1995,48.33000183105469
bol,f,1995,82.9800033569336
bol,mf,1996,190.22000122070312
bol,m,1996,65.44999694824219
bol,f,1996,125.7699966430664
bol,mf,1997,175.42999267578125
bol,m,1997,60.45000076293945
bol,f,1997,114.9800033569336
bol,mf,1999,936.5
bol,m,1999,323.20001220703125
bol,f,1999,613.2999877929688
bol,mf,2000,888.0
bol,m,2000,298.70001220703125
bol,f,2000,589.0
bol,mf,2001,1132.199951171875
bol,m,2001,425.70001220703125
bol,f,2001,706.5
bol,mf,2002,1039.0999755859375
bol,m,2002,393.0
bol,f,2002,646.0999755859375
bol,mf,2003,989.2150268554688
bol,m,2003,341.6669921875
bol,f,2003,647.5479736328125
bol,mf,2004,989.2150268554688
bol,m,2004,341.6669921875
bol,f,2004,647.5479736328125
bol,mf,2005,1080.4019775390625
bol,m,2005,380.34698486328125
bol,f,2005,700.0549926757812
bol,mf,2006,1210.7159423828125
bol,m,2006,420.39599609375
bol,f,2006,790.3200073242188
bol,mf,2007,1106.699951171875
bol,m,2007,386.6000061035156
bol,f,2007,720.0999755859375
bol,mf,2008,1190.39697265625
bol,m,2008,410.8269958496094
bol,f,2008,779.5700073242188
bol,mf,2009,1080.6949462890625
bol,m,2009,348.49700927734375
bol,f,2009,732.197998046875
bol,mf,2011,909.1519775390625
bol,m,2011,235.9320068359375
bol,f,2011,673.219970703125
bih,mf,2006,47.0
bih,m,2006,16.0
bih,f,2006,31.0
bih,mf,2007,37.0
bih,m,2007,11.0
bih,f,2007,26.0
bih,mf,2008,48.0
bih,m,2008,15.0
bih,f,2008,33.0
bih,mf,2009,58.0
bih,m,2009,17.0
bih,f,2009,41.0
bih,mf,2010,48.0
bih,m,2010,13.0
bih,f,2010,35.0
bih,mf,2011,43.0
bih,m,2011,12.0
bih,f,2011,31.0
bih,mf,2012,38.0
bih,m,2012,11.0
bih,f,2012,27.0
bih,mf,2013,38.0
bih,m,2013,11.0
bih,f,2013,27.0
bwa,mf,1984,0.7799999713897705
bwa,m,1984,0.2800000011920929
bwa,f,1984,0.5099999904632568
bwa,mf,1994,14.074000358581543
bwa,m,1994,2.746000051498413
bwa,f,1994,11.32800006866455
bwa,mf,2006,17.100000381469727
bwa,m,2006,6.0
bwa,f,2006,11.199999809265137
bwa,mf,2010,33.03900146484375
bwa,m,2010,16.509000778198242
bwa,f,2010,16.530000686645508
bra,mf,1990,3632.90087890625
bra,m,1990,1637.7030029296875
bra,f,1990,1995.197998046875
bra,mf,1992,4940.44384765625
bra,m,1992,2058.014892578125
bra,f,1992,2882.428955078125
bra,mf,1993,5082.40576171875
bra,m,1993,2146.35888671875
bra,f,1993,2936.047119140625
bra,mf,1995,5116.68896484375
bra,m,1995,2077.2919921875
bra,f,1995,3039.39697265625
bra,mf,1996,4705.9169921875
bra,m,1996,2027.9100341796875
bra,f,1996,2678.007080078125
bra,mf,2000,2608.532958984375
bra,m,2000,1247.0279541015625
bra,f,2000,1361.5050048828125
bra,mf,2001,5625.0
bra,m,2001,2579.0
bra,f,2001,3046.0
