country,sex,year,own_account_workers_b
aut,f,2001,5.400000095367432
aut,mf,2002,5.699999809265137
aut,m,2002,6.099999904632568
aut,f,2002,5.300000190734863
aut,mf,2003,5.800000190734863
aut,m,2003,6.199999809265137
aut,f,2003,5.400000095367432
aut,mf,2004,7.300000190734863
aut,m,2004,8.300000190734863
aut,f,2004,6.0
aut,mf,2005,7.0
aut,m,2005,7.5
aut,f,2005,6.300000190734863
aut,mf,2006,6.800000190734863
aut,m,2006,7.5
aut,f,2006,5.900000095367432
aut,mf,2007,6.5
aut,m,2007,6.800000190734863
aut,f,2007,6.0
aut,mf,2008,6.5
aut,m,2008,7.199999809265137
aut,f,2008,5.800000190734863
aut,mf,2009,6.699999809265137
aut,m,2009,7.300000190734863
aut,f,2009,6.0
aut,mf,2010,6.900000095367432
aut,m,2010,7.5
aut,f,2010,6.199999809265137
aut,mf,2011,6.599999904632568
aut,m,2011,7.0
aut,f,2011,6.0
aut,mf,2012,6.5
aut,m,2012,6.900000095367432
aut,f,2012,6.099999904632568
aut,mf,2013,6.900000095367432
aut,m,2013,7.400000095367432
aut,f,2013,6.300000190734863
aut,mf,2014,6.599999904632568
aut,m,2014,7.0
aut,f,2014,6.0
aze,mf,2003,43.5
aze,m,2003,43.5
aze,f,2003,43.5
aze,mf,2004,43.400001525878906
aze,m,2004,43.400001525878906
aze,f,2004,43.5
aze,mf,2005,45.79999923706055
aze,m,2005,45.79999923706055
aze,f,2005,45.79999923706055
aze,mf,2006,56.5
aze,m,2006,48.900001525878906
aze,f,2006,65.0999984741211
aze,mf,2007,53.20000076293945
aze,m,2007,40.5
aze,f,2007,66.0
aze,mf,2008,54.70000076293945
aze,m,2008,47.400001525878906
aze,f,2008,62.099998474121094
aze,mf,2009,26.5
aze,m,2009,21.799999237060547
aze,f,2009,31.600000381469727
aze,mf,2010,26.799999237060547
aze,m,2010,22.600000381469727
aze,f,2010,31.200000762939453
aze,mf,2011,28.0
aze,m,2011,27.600000381469727
aze,f,2011,28.5
aze,mf,2012,27.399999618530273
aze,m,2012,25.399999618530273
aze,f,2012,29.600000381469727
aze,mf,2013,26.600000381469727
