country,sex,year,persons_in_vulnerable_employment_thousands
aze,m,2013,1194.6259765625
aze,f,2013,1356.9239501953125
bhs,mf,1998,21.34000015258789
bhs,m,1998,13.8149995803833
bhs,f,1998,7.525000095367432
bhs,mf,1999,23.049999237060547
bhs,m,1999,15.46500015258789
bhs,f,1999,7.585000038146973
bhr,mf,2002,6.64900016784668
bhr,m,2002,5.951000213623047
bhr,f,2002,0.6980000138282776
bhr,mf,2003,7.122000217437744
bhr,m,2003,6.379000186920166
bhr,f,2003,0.7429999709129333
bhr,mf,2004,6.171000003814697
bhr,m,2004,5.8429999351501465
bhr,f,2004,0.328000009059906
bhr,mf,2005,8.717000007629395
bhr,m,2005,7.822999954223633
bhr,f,2005,0.8939999938011169
bhr,mf,2006,9.609000205993652
bhr,m,2006,8.642999649047852
bhr,f,2006,0.9660000205039978
bhr,mf,2007,10.083000183105469
bhr,m,2007,9.062000274658203
bhr,f,2007,1.0210000276565552
bhr,mf,2008,10.913000106811523
bhr,m,2008,9.772000312805176
bhr,f,2008,1.1410000324249268
bhr,mf,2009,11.734999656677246
bhr,m,2009,10.435999870300293
bhr,f,2009,1.2979999780654907
bhr,mf,2010,11.836999893188477
bhr,m,2010,10.48900032043457
bhr,f,2010,1.3480000495910645
bgd,mf,1996,37904.0
bgd,m,1996,20200.0
bgd,f,1996,17703.0
bgd,mf,2000,35645.0
bgd,m,2000,19309.0
bgd,f,2000,16336.0
bgd,mf,2003,36839.0
bgd,m,2003,28748.0
bgd,f,2003,8091.0
bgd,mf,2005,40243.0
bgd,m,2005,30484.0
bgd,f,2005,9759.0
bgd,mf,2010,33809.0
bgd,m,2010,20625.0
bgd,f,2010,13184.0
bgd,mf,2011,23093.5
bgd,m,2011,21128.939453125
bgd,f,2011,1964.56103515625
brb,mf,1990,12.300000190734863
brb,m,1990,8.300000190734863
brb,f,1990,4.099999904632568
brb,mf,1991,12.0
brb,m,1991,8.300000190734863
brb,f,1991,3.700000047683716
brb,mf,1992,11.899999618530273
brb,m,1992,7.900000095367432
brb,f,1992,4.099999904632568
brb,mf,1993,12.600000381469727
brb,m,1993,8.300000190734863
brb,f,1993,4.300000190734863
brb,mf,1994,13.0
brb,m,1994,8.300000190734863
brb,f,1994,4.599999904632568
brb,mf,1995,13.5
brb,m,1995,8.600000381469727
brb,f,1995,4.800000190734863
brb,mf,1996,14.399999618530273
brb,m,1996,9.5
brb,f,1996,5.0
brb,mf,1997,13.699999809265137
brb,m,1997,9.399999618530273
brb,f,1997,4.300000190734863
brb,mf,1998,14.5
brb,m,1998,9.800000190734863
brb,f,1998,4.699999809265137
brb,mf,1999,17.100000381469727
brb,m,1999,11.699999809265137
brb,f,1999,5.199999809265137
brb,mf,2000,16.100000381469727
brb,m,2000,11.300000190734863
brb,f,2000,4.800000190734863
brb,mf,2001,17.600000381469727
brb,m,2001,12.100000381469727
brb,f,2001,5.599999904632568
brb,mf,2002,17.600000381469727
brb,m,2002,12.0
brb,f,2002,5.5
brb,mf,2003,17.600000381469727
brb,m,2003,12.399999618530273
brb,f,2003,5.199999809265137
brb,mf,2004,18.5
brb,m,2004,12.199999809265137
brb,f,2004,6.300000190734863
blr,mf,2009,96.4020004272461
blr,m,2009,57.36000061035156
blr,f,2009,39.04199981689453
bel,mf,1983,564.7880249023438
bel,m,1983,345.2099914550781
bel,f,1983,219.5780029296875
bel,mf,1984,634.1530151367188
bel,m,1984,381.04998779296875
bel,f,1984,253.10400390625
bel,mf,1985,643.3289794921875
bel,m,1985,396.6210021972656
bel,f,1985,246.70799255371094
bel,mf,1986,608.5150146484375
bel,m,1986,375.85101318359375
bel,f,1986,232.66400146484375
bel,mf,1987,587.6749877929688
bel,m,1987,378.4339904785156
bel,f,1987,209.24099731445312
bel,mf,1988,578.2109985351562
bel,m,1988,371.9729919433594
bel,f,1988,206.23800659179688
bel,mf,1989,635.8419799804688
bel,m,1989,410.3810119628906
bel,f,1989,225.46200561523438
bel,mf,1990,625.9169921875
bel,m,1990,402.1000061035156
bel,f,1990,223.81700134277344
bel,mf,1991,590.6719970703125
bel,m,1991,377.2200012207031
bel,f,1991,213.4510040283203
bel,mf,1992,613.1309814453125
bel,m,1992,377.1709899902344
bel,f,1992,235.95899963378906
bel,mf,1993,591.8740234375
bel,m,1993,364.5719909667969
bel,f,1993,227.302001953125
bel,mf,1994,603.6749877929688
bel,m,1994,381.9469909667969
bel,f,1994,221.72900390625
bel,mf,1995,608.3250122070312
bel,m,1995,369.677001953125
bel,f,1995,238.64700317382812
bel,mf,1996,611.8489990234375
bel,m,1996,379.5639953613281
bel,f,1996,232.28399658203125
bel,mf,1997,605.9669799804688
bel,m,1997,377.8389892578125
bel,f,1997,228.1280059814453
bel,mf,1998,600.0360107421875
bel,m,1998,374.86199951171875
bel,f,1998,225.1750030517578
bel,mf,1999,510.8450012207031
bel,m,1999,280.6400146484375
bel,f,1999,230.20599365234375
bel,mf,2000,474.3919982910156
bel,m,2000,274.2179870605469
bel,f,2000,200.1739959716797
bel,mf,2001,433.14898681640625
bel,m,2001,245.8730010986328
bel,f,2001,187.27499389648438
bel,mf,2002,461.9289855957031
bel,m,2002,265.9580078125
bel,f,2002,195.9709930419922
bel,mf,2003,446.8139953613281
bel,m,2003,261.31298828125
bel,f,2003,185.50100708007812
