country,sex,year,members_of_producers_cooperatives_c
tha,m,2010,0.20000000298023224
tha,f,2010,0.10000000149011612
tha,mf,2011,0.20000000298023224
tha,m,2011,0.20000000298023224
tha,f,2011,0.10000000149011612
tha,mf,2012,0.20000000298023224
tha,m,2012,0.20000000298023224
tha,f,2012,0.10000000149011612
tha,mf,2013,0.10000000149011612
tha,m,2013,0.10000000149011612
tha,f,2013,0.10000000149011612
tun,mf,1994,5.599999904632568
tun,m,1994,2.799999952316284
tun,f,1994,15.100000381469727
uga,mf,2013,0.0
uga,m,2013,0.0
uga,f,2013,0.0
ury,mf,2011,0.20000000298023224
ury,m,2011,0.20000000298023224
ury,f,2011,0.10000000149011612
ury,mf,2012,0.10000000149011612
ury,m,2012,0.10000000149011612
ury,f,2012,0.10000000149011612
ury,mf,2013,0.10000000149011612
ury,m,2013,0.20000000298023224
ury,f,2013,0.10000000149011612
ven,mf,2009,6.599999904632568
ven,m,2009,8.100000381469727
ven,f,2009,4.300000190734863
ven,mf,2010,6.5
ven,m,2010,8.0
ven,f,2010,4.099999904632568
ven,mf,2011,6.5
ven,m,2011,8.100000381469727
ven,f,2011,3.9000000953674316
ven,mf,2012,6.5
ven,m,2012,8.199999809265137
ven,f,2012,4.0
ven,mf,2013,1.5
ven,m,2013,2.200000047683716
ven,f,2013,0.4000000059604645
vnm,mf,2012,0.0
vnm,m,2012,0.0
vnm,f,2012,0.0
vnm,mf,2013,0.0
vnm,m,2013,0.0
vnm,f,2013,0.0
yem,mf,1999,0.30000001192092896
yem,m,1999,0.30000001192092896
yem,f,1999,0.30000001192092896
