country,sex,year,total_self_employed_workers_thousands
arg,mf,2003,2355.10009765625
arg,m,2003,1543.4000244140625
arg,f,2003,811.5999755859375
arg,mf,2004,2437.39990234375
arg,m,2004,1589.5
arg,f,2004,847.9000244140625
arg,mf,2005,2456.699951171875
arg,m,2005,1601.199951171875
arg,f,2005,855.5
arg,mf,2006,2432.199951171875
arg,m,2006,1589.5
arg,f,2006,842.7999877929688
arg,mf,2007,2406.007080078125
arg,m,2007,1597.583984375
arg,f,2007,808.4219970703125
arg,mf,2008,2434.455078125
arg,m,2008,1609.0830078125
arg,f,2008,825.3709716796875
arg,mf,2009,2500.951904296875
arg,m,2009,1624.262939453125
arg,f,2009,876.6890258789062
arg,mf,2010,2481.030029296875
arg,m,2010,1629.678955078125
arg,f,2010,851.3510131835938
arg,mf,2011,2486.47998046875
arg,m,2011,1654.4530029296875
arg,f,2011,832.0269775390625
arg,mf,2012,2493.251953125
arg,m,2012,1646.0419921875
arg,f,2012,847.2100219726562
arg,mf,2013,3983.154052734375
arg,m,2013,2742.846923828125
arg,f,2013,1240.3070068359375
arm,mf,2007,497.0
arm,mf,2008,352.8999938964844
arm,m,2008,190.60000610351562
arm,f,2008,162.3000030517578
arm,mf,2009,296.6000061035156
arm,m,2009,176.39999389648438
arm,f,2009,120.19999694824219
arm,mf,2010,331.6000061035156
arm,m,2010,182.39999389648438
arm,f,2010,149.3000030517578
arm,mf,2011,357.29998779296875
arm,m,2011,190.60000610351562
arm,f,2011,166.8000030517578
arm,mf,2012,340.2799987792969
arm,m,2012,188.95199584960938
arm,f,2012,151.3280029296875
arm,mf,2013,498.2359924316406
arm,m,2013,231.58700561523438
arm,f,2013,266.64898681640625
abw,mf,1991,2.255000114440918
abw,m,1991,1.6859999895095825
abw,f,1991,0.5690000057220459
abw,mf,2000,4.198999881744385
abw,m,2000,2.9709999561309814
abw,f,2000,1.2280000448226929
abw,mf,2007,4.5929999351501465
abw,m,2007,3.1649999618530273
abw,f,2007,1.4279999732971191
abw,mf,2010,4.539999961853027
abw,m,2010,3.134999990463257
abw,f,2010,1.4049999713897705
aus,mf,1980,1006.5
aus,m,1980,711.2000122070312
aus,f,1980,295.29998779296875
aus,mf,1981,999.5
aus,m,1981,702.2000122070312
aus,f,1981,297.3999938964844
aus,mf,1982,1002.4000244140625
aus,m,1982,703.5
aus,f,1982,298.79998779296875
aus,mf,1983,983.2999877929688
aus,m,1983,685.5
aus,f,1983,297.8999938964844
aus,mf,1984,1013.5
aus,m,1984,713.5999755859375
aus,f,1984,299.8999938964844
aus,mf,1985,1006.9210205078125
aus,m,1985,697.176025390625
aus,f,1985,309.7449951171875
aus,mf,1986,1068.155029296875
aus,m,1986,719.5499877929688
aus,f,1986,348.6050109863281
aus,mf,1987,1070.157958984375
aus,m,1987,722.3040161132812
aus,f,1987,347.85400390625
aus,mf,1988,1114.7900390625
aus,m,1988,747.52099609375
aus,f,1988,367.2690124511719
aus,mf,1989,1118.43701171875
aus,m,1989,750.6240234375
aus,f,1989,367.81298828125
aus,mf,1990,1134.31494140625
aus,m,1990,756.6320190429688
aus,f,1990,377.6839904785156
aus,mf,1991,1190.56103515625
aus,m,1991,787.8759765625
aus,f,1991,402.68499755859375
aus,mf,1992,1210.48095703125
aus,m,1992,801.7410278320312
