country,sex,year,contributing_family_workers_d
btn,mf,2011,29.100000381469727
btn,m,2011,24.399999618530273
btn,f,2011,34.400001525878906
btn,mf,2012,3.299999952316284
btn,m,2012,3.4000000953674316
btn,f,2012,3.200000047683716
bol,mf,1989,6.0
bol,m,1989,4.199999809265137
bol,f,1989,8.300000190734863
bol,mf,1990,4.900000095367432
bol,m,1990,3.5999999046325684
bol,f,1990,6.699999809265137
bol,mf,1991,6.0
bol,m,1991,4.0
bol,f,1991,8.800000190734863
bol,mf,1992,5.300000190734863
bol,m,1992,3.5
bol,f,1992,8.0
bol,mf,1993,7.5
bol,m,1993,4.099999904632568
bol,f,1993,11.800000190734863
bol,mf,1994,8.100000381469727
bol,m,1994,4.599999904632568
bol,f,1994,12.600000381469727
bol,mf,1995,10.399999618530273
bol,m,1995,6.800000190734863
bol,f,1995,15.100000381469727
bol,mf,1996,10.300000190734863
bol,m,1996,6.5
bol,f,1996,14.899999618530273
bol,mf,1997,9.300000190734863
bol,m,1997,5.699999809265137
bol,f,1997,14.199999809265137
bol,mf,1999,25.700000762939453
bol,m,1999,16.200000762939453
bol,f,1999,37.5
bol,mf,2000,24.399999618530273
bol,m,2000,14.699999809265137
bol,f,2000,36.70000076293945
bol,mf,2001,29.100000381469727
bol,m,2001,20.0
bol,f,2001,40.20000076293945
bol,mf,2002,27.200000762939453
bol,m,2002,18.200000762939453
bol,f,2002,38.79999923706055
bol,mf,2003,23.600000381469727
bol,m,2003,15.0
bol,f,2003,33.900001525878906
bol,mf,2004,23.600000381469727
bol,m,2004,15.0
bol,f,2004,33.900001525878906
bol,mf,2005,25.399999618530273
bol,m,2005,16.100000381469727
bol,f,2005,36.79999923706055
bol,mf,2006,26.600000381469727
bol,m,2006,16.799999237060547
bol,f,2006,38.70000076293945
bol,mf,2007,23.700000762939453
bol,m,2007,15.0
bol,f,2007,34.400001525878906
bol,mf,2008,24.200000762939453
bol,m,2008,15.300000190734863
bol,f,2008,35.0
bol,mf,2009,21.600000381469727
bol,m,2009,12.600000381469727
bol,f,2009,32.70000076293945
bol,mf,2011,18.200000762939453
bol,m,2011,8.399999618530273
bol,f,2011,30.600000381469727
bih,mf,2006,5.800000190734863
bih,m,2006,3.0
bih,f,2006,11.0
bih,mf,2007,4.400000095367432
bih,m,2007,2.0
bih,f,2007,8.899999618530273
bih,mf,2008,5.400000095367432
bih,m,2008,2.5999999046325684
bih,f,2008,10.399999618530273
bih,mf,2009,6.800000190734863
bih,m,2009,3.0999999046325684
bih,f,2009,12.899999618530273
bih,mf,2010,5.699999809265137
bih,m,2010,2.4000000953674316
bih,f,2010,11.300000190734863
bih,mf,2011,5.300000190734863
bih,m,2011,2.299999952316284
bih,f,2011,10.199999809265137
bih,mf,2012,4.699999809265137
bih,m,2012,2.0999999046325684
bih,f,2012,9.0
bih,mf,2013,4.599999904632568
bih,m,2013,2.0999999046325684
bih,f,2013,8.800000190734863
bwa,mf,1984,0.30000001192092896
bwa,m,1984,0.20000000298023224
bwa,f,1984,0.4000000059604645
bwa,mf,1994,3.799999952316284
bwa,m,1994,1.399999976158142
bwa,f,1994,6.800000190734863
bwa,mf,2006,3.200000047683716
bwa,m,2006,2.0999999046325684
bwa,f,2006,4.400000095367432
bwa,mf,2010,5.699999809265137
bwa,m,2010,5.300000190734863
bwa,f,2010,6.199999809265137
bra,mf,1990,6.099999904632568
bra,m,1990,4.300000190734863
bra,f,1990,9.399999618530273
bra,mf,1992,8.0
bra,m,1992,5.5
bra,f,1992,11.899999618530273
bra,mf,1993,8.100000381469727
bra,m,1993,5.599999904632568
bra,f,1993,11.800000190734863
bra,mf,1995,7.699999809265137
bra,m,1995,5.199999809265137
bra,f,1995,11.399999618530273
bra,mf,1996,7.199999809265137
bra,m,1996,5.099999904632568
bra,f,1996,10.300000190734863
bra,mf,2000,4.0
bra,m,2000,3.0999999046325684
bra,f,2000,5.5
