country,sex,year,not_classified_percentage
blz,f,1994,0.30000001192092896
blz,mf,1995,0.10000000149011612
blz,m,1995,0.10000000149011612
blz,f,1995,0.10000000149011612
blz,mf,1996,0.30000001192092896
blz,m,1996,0.4000000059604645
blz,f,1996,0.20000000298023224
blz,mf,1997,0.10000000149011612
blz,m,1997,0.10000000149011612
blz,f,1997,0.10000000149011612
blz,mf,1998,0.10000000149011612
blz,m,1998,0.20000000298023224
blz,f,1998,0.10000000149011612
blz,mf,1999,0.10000000149011612
blz,m,1999,0.10000000149011612
blz,f,1999,0.10000000149011612
blz,mf,2005,0.10000000149011612
blz,m,2005,0.10000000149011612
blz,f,2005,0.10000000149011612
ben,mf,2010,3.0
ben,m,2010,3.5999999046325684
ben,f,2010,2.5999999046325684
bmu,mf,2009,0.0
bmu,m,2009,0.0
bmu,f,2009,0.10000000149011612
bmu,mf,2010,0.699999988079071
bmu,m,2010,0.800000011920929
bmu,f,2010,2.5999999046325684
bmu,mf,2012,0.10000000149011612
bmu,m,2012,0.20000000298023224
bmu,f,2012,0.10000000149011612
bol,mf,1999,1.899999976158142
bol,m,1999,0.20000000298023224
bol,f,1999,4.0
bol,mf,2000,2.5999999046325684
bol,m,2000,0.10000000149011612
bol,f,2000,5.699999809265137
bol,mf,2001,3.0999999046325684
bol,m,2001,0.20000000298023224
bol,f,2001,6.5
bol,mf,2002,2.299999952316284
bol,m,2002,0.10000000149011612
bol,f,2002,5.199999809265137
bol,mf,2006,0.0
bol,m,2006,0.0
bol,f,2006,0.0
bol,mf,2007,3.4000000953674316
bol,m,2007,0.30000001192092896
bol,f,2007,7.199999809265137
bwa,mf,1984,0.10000000149011612
bwa,m,1984,0.10000000149011612
bwa,f,1984,0.0
bwa,mf,2010,16.299999237060547
bwa,m,2010,16.0
bwa,f,2010,16.600000381469727
bra,mf,1990,0.0
bra,m,1990,0.0
bra,f,1990,0.0
bra,mf,1992,0.0
bra,m,1992,0.0
bra,f,1992,0.0
bra,mf,1993,0.0
bra,m,1993,0.0
bra,f,1993,0.0
bra,mf,1995,0.0
bra,m,1995,0.0
bra,f,1995,0.0
bra,mf,1996,0.0
bra,m,1996,0.0
bra,f,1996,0.0
bra,mf,2000,3.0999999046325684
bra,m,2000,3.4000000953674316
bra,f,2000,2.5
bra,mf,2001,0.0
bra,m,2001,0.0
bra,f,2001,0.0
bra,mf,2002,0.0
bra,m,2002,0.0
bra,f,2002,0.0
bra,mf,2003,0.0
bra,m,2003,0.0
bra,f,2003,0.0
bra,mf,2004,0.0
bra,m,2004,0.0
bra,f,2004,0.0
bra,mf,2005,4.599999904632568
bra,m,2005,2.700000047683716
bra,f,2005,7.300000190734863
bra,mf,2006,4.699999809265137
bra,m,2006,2.9000000953674316
bra,f,2006,7.0
bra,mf,2007,4.400000095367432
bra,m,2007,3.0
bra,f,2007,6.400000095367432
bra,mf,2008,4.5
bra,m,2008,3.0999999046325684
bra,f,2008,6.400000095367432
bra,mf,2009,4.199999809265137
bra,m,2009,3.0
bra,f,2009,5.699999809265137
bra,mf,2011,4.099999904632568
bra,m,2011,3.4000000953674316
bra,f,2011,5.199999809265137
bra,mf,2012,4.0
bra,m,2012,3.200000047683716
bra,f,2012,5.099999904632568
bra,mf,2013,4.5
bra,m,2013,3.5999999046325684
bra,f,2013,5.599999904632568
vgb,mf,1991,0.6000000238418579
vgb,m,1991,0.6000000238418579
vgb,f,1991,0.5
bgr,mf,2000,0.5
bgr,m,2000,0.6000000238418579
bgr,f,2000,0.5
bgr,mf,2001,0.6000000238418579
bgr,m,2001,0.5
bgr,f,2001,0.699999988079071
bgr,mf,2002,0.5
bgr,m,2002,0.6000000238418579
bgr,f,2002,0.4000000059604645
bgr,mf,2003,0.4000000059604645
bgr,m,2003,0.4000000059604645
bgr,f,2003,0.30000001192092896
bgr,mf,2004,0.30000001192092896
bgr,m,2004,0.4000000059604645
bgr,f,2004,0.20000000298023224
bgr,mf,2005,0.20000000298023224
bgr,m,2005,0.30000001192092896
bgr,f,2005,0.20000000298023224
bfa,mf,1985,0.30000001192092896
bfa,m,1985,0.6000000238418579
bfa,f,1985,0.10000000149011612
bfa,mf,1994,0.800000011920929
bfa,m,1994,1.399999976158142
bfa,f,1994,0.30000001192092896
bfa,mf,2006,2.5
bfa,m,2006,2.5
bfa,f,2006,2.5
bdi,mf,1998,0.30000001192092896
bdi,m,1998,0.5
bdi,f,1998,0.10000000149011612
bdi,mf,2004,0.10000000149011612
bdi,mf,2005,1.0
bdi,mf,2006,1.0
bdi,mf,2007,1.0
bdi,mf,2008,4.0
bdi,m,2008,4.0
bdi,f,2008,4.0
bdi,mf,2009,2.200000047683716
bdi,mf,2010,0.10000000149011612
khm,mf,2000,0.10000000149011612
khm,m,2000,0.20000000298023224
