country,sex,year,own_account_workers_b_000
aus,mf,1991,1121.1280517578125
aus,m,1991,757.4420166015625
aus,f,1991,363.6860046386719
aus,mf,1992,1136.27197265625
aus,m,1992,771.6840209960938
aus,f,1992,364.5880126953125
aus,mf,1993,1159.7760009765625
aus,m,1993,786.6820068359375
aus,f,1993,373.0950012207031
aus,mf,1994,1156.3590087890625
aus,m,1994,785.8610229492188
aus,f,1994,370.4989929199219
aus,mf,1995,1169.050048828125
aus,m,1995,793.1900024414062
aus,f,1995,375.8590087890625
aus,mf,1996,1167.134033203125
aus,m,1996,788.791015625
aus,f,1996,378.3429870605469
aus,mf,1997,1178.3919677734375
aus,m,1997,785.4310302734375
aus,f,1997,392.96099853515625
aus,mf,1998,1176.946044921875
aus,m,1998,792.9400024414062
aus,f,1998,384.0060119628906
aus,mf,1999,1174.5810546875
aus,m,1999,802.2730102539062
aus,f,1999,372.3080139160156
aus,mf,2000,1133.633056640625
aus,m,2000,770.0009765625
aus,f,2000,363.6319885253906
aus,mf,2001,1182.885986328125
aus,m,2001,801.927978515625
aus,f,2001,380.9580078125
aus,mf,2002,1227.77294921875
aus,m,2002,827.4979858398438
aus,f,2002,400.2749938964844
aus,mf,2003,1221.2860107421875
aus,m,2003,823.4990234375
aus,f,2003,397.7879943847656
aus,mf,2004,1221.60400390625
aus,m,2004,824.9010009765625
aus,f,2004,396.7030029296875
aus,mf,2005,1243.4169921875
aus,m,2005,829.833984375
aus,f,2005,413.5840148925781
aus,mf,2006,1225.06103515625
aus,m,2006,821.1019897460938
aus,f,2006,403.9590148925781
aus,mf,2007,1215.4630126953125
aus,m,2007,812.2659912109375
aus,f,2007,403.1969909667969
aus,mf,2008,1230.083984375
aus,m,2008,811.9080200195312
aus,f,2008,418.1759948730469
aus,mf,2009,1244.8890380859375
aus,m,2009,828.5590209960938
aus,f,2009,416.3299865722656
aus,mf,2010,1269.3900146484375
aus,m,2010,837.6220092773438
aus,f,2010,431.76800537109375
aus,mf,2011,1240.9129638671875
aus,m,2011,810.6849975585938
aus,f,2011,430.2279968261719
aus,mf,2012,1179.4510498046875
aus,m,2012,755.1539916992188
aus,f,2012,424.2969970703125
aus,mf,2013,1158.7960205078125
aus,m,2013,746.5339965820312
aus,f,2013,412.2619934082031
aut,mf,1980,525.0
aut,mf,1981,515.0
aut,mf,1982,509.0
aut,mf,1983,505.0
aut,mf,1984,495.0
aut,mf,1985,341.0
aut,mf,1986,341.0
aut,mf,1987,342.0
aut,mf,1988,345.0
aut,mf,1989,351.0
aut,mf,1990,359.0
aut,mf,1991,356.0
aut,mf,1992,360.0
aut,mf,1993,358.0
aut,mf,1994,388.0
aut,mf,1995,220.92599487304688
aut,m,1995,124.53399658203125
aut,f,1995,96.39199829101562
aut,mf,1996,214.75599670410156
aut,m,1996,119.0739974975586
aut,f,1996,95.68199920654297
aut,mf,1997,212.46099853515625
aut,m,1997,125.11199951171875
aut,f,1997,87.3489990234375
aut,mf,1998,212.63299560546875
aut,m,1998,122.52100372314453
aut,f,1998,90.11299896240234
aut,mf,1999,218.11399841308594
aut,m,1999,124.35099792480469
aut,f,1999,93.76200103759766
aut,mf,2000,212.9759979248047
aut,m,2000,127.25
aut,f,2000,85.72599792480469
aut,mf,2001,220.28799438476562
aut,m,2001,132.03900146484375
aut,f,2001,88.2490005493164
aut,mf,2002,210.00599670410156
aut,m,2002,121.78299713134766
aut,f,2002,88.2239990234375
aut,mf,2003,217.99899291992188
aut,m,2003,127.53199768066406
aut,f,2003,90.46700286865234
aut,mf,2004,261.9079895019531
aut,m,2004,163.50100708007812
aut,f,2004,98.40699768066406
aut,mf,2005,260.5409851074219
aut,m,2005,153.99400329589844
aut,f,2005,106.5459976196289
aut,mf,2006,259.9779968261719
aut,m,2006,156.45799255371094
aut,f,2006,103.5199966430664
aut,mf,2007,253.41799926757812
aut,m,2007,146.4320068359375
aut,f,2007,106.98600006103516
aut,mf,2008,261.3680114746094
aut,m,2008,154.7480010986328
aut,f,2008,106.62000274658203
aut,mf,2009,267.2239990234375
aut,m,2009,156.62899780273438
aut,f,2009,110.59400177001953
aut,mf,2010,276.29998779296875
aut,m,2010,161.03199768066406
aut,f,2010,115.26699829101562
aut,mf,2011,266.4830017089844
aut,m,2011,152.24600219726562
aut,f,2011,114.23699951171875
aut,mf,2012,266.60198974609375
aut,m,2012,150.3179931640625
aut,f,2012,116.28399658203125
aut,mf,2013,282.1050109863281
aut,m,2013,160.68600463867188
aut,f,2013,121.41899871826172
aut,mf,2014,270.1029968261719
aut,m,2014,153.01199340820312
aut,f,2014,117.09200286865234
aze,mf,2003,1628.0999755859375
aze,m,2003,851.5
aze,f,2003,776.5999755859375
aze,mf,2004,1655.0
aze,m,2004,867.0999755859375
aze,f,2004,787.9000244140625
aze,mf,2005,1763.199951171875
aze,m,2005,923.9000244140625
aze,f,2005,839.2999877929688
aze,mf,2006,2252.89990234375
aze,m,2006,1029.0
aze,f,2006,1223.9000244140625
aze,mf,2007,2134.10009765625
aze,m,2007,819.0
aze,f,2007,1315.0999755859375
aze,mf,2008,2217.0
aze,m,2008,969.9000244140625
aze,f,2008,1247.0999755859375
aze,mf,2009,1132.8349609375
aze,m,2009,478.8890075683594
aze,f,2009,653.9459838867188
aze,mf,2010,1158.7259521484375
aze,m,2010,502.5679931640625
aze,f,2010,656.1580200195312
aze,mf,2011,1225.8759765625
aze,m,2011,620.9019775390625
aze,f,2011,604.9739990234375
aze,mf,2012,1219.2459716796875
aze,m,2012,581.1370239257812
aze,f,2012,638.1090087890625
aze,mf,2013,1201.7459716796875
aze,m,2013,580.9390258789062
aze,f,2013,620.8070068359375
bhs,mf,1991,13.545000076293945
bhs,m,1991,8.614999771118164
bhs,f,1991,4.940000057220459
bhs,mf,1992,14.59000015258789
bhs,m,1992,10.364999771118164
bhs,f,1992,4.224999904632568
bhs,mf,1993,15.3100004196167
bhs,m,1993,10.020000457763672
bhs,f,1993,5.28000020980835
bhs,mf,1994,17.3799991607666
bhs,m,1994,11.0600004196167
bhs,f,1994,6.320000171661377
bhs,mf,1995,17.5
bhs,m,1995,10.720000267028809
bhs,f,1995,6.769999980926514
bhs,mf,1996,20.479999542236328
bhs,m,1996,13.5
bhs,f,1996,6.980000019073486
bhs,mf,1997,19.8700008392334
bhs,m,1997,13.319999694824219
bhs,f,1997,6.550000190734863
bhs,mf,1998,20.989999771118164
bhs,m,1998,13.75
bhs,f,1998,7.239999771118164
bhs,mf,1999,22.729999542236328
bhs,m,1999,15.399999618530273
bhs,f,1999,7.329999923706055
bhs,mf,2001,21.174999237060547
bhs,m,2001,14.444999694824219
bhs,f,2001,6.730000019073486
bhs,mf,2002,22.93000030517578
bhs,m,2002,15.604999542236328
bhs,f,2002,7.324999809265137
bhs,mf,2003,21.954999923706055
bhs,m,2003,13.994999885559082
bhs,f,2003,7.960000038146973
bhs,mf,2004,23.395000457763672
bhs,m,2004,14.5649995803833
bhs,f,2004,8.829999923706055
bhs,mf,2008,23.190000534057617
bhs,m,2008,15.444999694824219
bhs,f,2008,7.744999885559082
bhs,mf,2011,22.8799991607666
bhs,m,2011,15.5
bhs,f,2011,7.380000114440918
bhr,mf,2002,4.9079999923706055
bhr,m,2002,4.675000190734863
bhr,f,2002,0.23199999332427979
bhr,mf,2003,5.256999969482422
bhr,m,2003,5.007999897003174
bhr,f,2003,0.24799999594688416
bhr,mf,2004,5.928999900817871
bhr,m,2004,5.64300012588501
bhr,f,2004,0.28600001335144043
bhr,mf,2005,6.416999816894531
bhr,m,2005,6.120999813079834
bhr,f,2005,0.29499998688697815
bhr,mf,2006,7.078000068664551
bhr,m,2006,6.758999824523926
bhr,f,2006,0.3190000057220459
bhr,mf,2007,7.408999919891357
bhr,m,2007,7.072999954223633
bhr,f,2007,0.335999995470047
bhr,mf,2008,7.993000030517578
bhr,m,2008,7.618000030517578
bhr,f,2008,0.37400001287460327
bhr,mf,2009,8.545999526977539
bhr,m,2009,8.125
bhr,f,2009,0.42100000381469727
bhr,mf,2010,8.595000267028809
bhr,m,2010,8.164999961853027
bhr,f,2010,0.4300000071525574
bgd,mf,1996,16008.0
bgd,m,1996,14415.0
bgd,f,1996,1593.0
bgd,mf,2000,18170.0
bgd,m,2000,16040.0
bgd,f,2000,2130.0
bgd,mf,2003,28699.0
bgd,m,2003,25336.0
bgd,f,2003,3363.0
bgd,mf,2005,29975.0
bgd,m,2005,26996.0
bgd,f,2005,2979.0
bgd,mf,2010,22022.0
bgd,m,2010,17954.0
bgd,f,2010,4068.0
bgd,mf,2011,21533.369140625
bgd,m,2011,20158.490234375
bgd,f,2011,1374.8800048828125
brb,mf,1990,11.5
brb,m,1990,7.699999809265137
brb,f,1990,3.799999952316284
brb,mf,1991,11.399999618530273
brb,m,1991,7.900000095367432
brb,f,1991,3.5
brb,mf,1992,11.800000190734863
brb,m,1992,7.800000190734863
brb,f,1992,4.0
brb,mf,1993,12.100000381469727
brb,m,1993,7.900000095367432
brb,f,1993,4.199999809265137
brb,mf,1994,12.899999618530273
brb,m,1994,8.300000190734863
brb,f,1994,4.599999904632568
brb,mf,1995,13.5
brb,m,1995,8.600000381469727
brb,f,1995,4.800000190734863
brb,mf,1996,14.100000381469727
brb,m,1996,9.399999618530273
brb,f,1996,4.800000190734863
brb,mf,1997,13.699999809265137
brb,m,1997,9.399999618530273
brb,f,1997,4.300000190734863
brb,mf,1998,14.5
brb,m,1998,9.800000190734863
brb,f,1998,4.699999809265137
brb,mf,1999,17.0
brb,m,1999,11.699999809265137
brb,f,1999,5.199999809265137
brb,mf,2000,15.899999618530273
brb,m,2000,11.199999809265137
brb,f,2000,4.699999809265137
brb,mf,2001,17.5
brb,m,2001,12.100000381469727
brb,f,2001,5.5
brb,mf,2002,17.5
brb,m,2002,12.0
brb,f,2002,5.5
brb,mf,2003,17.600000381469727
brb,m,2003,12.399999618530273
brb,f,2003,5.199999809265137
brb,mf,2004,18.399999618530273
brb,m,2004,12.199999809265137
brb,f,2004,6.199999809265137
brb,mf,2013,20.0
brb,m,2013,13.100000381469727
brb,f,2013,6.900000095367432
blr,mf,2009,92.53199768066406
blr,m,2009,55.37799835205078
blr,f,2009,37.15399932861328
bel,mf,1980,481.0
bel,m,1980,358.0
bel,f,1980,123.0
bel,mf,1981,483.0
bel,m,1981,359.0
bel,f,1981,125.0
bel,mf,1982,486.0
bel,m,1982,360.0
bel,f,1982,126.0
bel,mf,1983,441.5409851074219
bel,m,1983,324.0889892578125
bel,f,1983,117.4520034790039
bel,mf,1984,488.9230041503906
bel,m,1984,358.47698974609375
bel,f,1984,130.4459991455078
bel,mf,1985,501.1419982910156
bel,m,1985,372.7300109863281
bel,f,1985,128.41200256347656
bel,mf,1986,480.1889953613281
bel,m,1986,352.20001220703125
bel,f,1986,127.98899841308594
bel,mf,1987,481.010009765625
bel,m,1987,361.14898681640625
bel,f,1987,119.86100006103516
bel,mf,1988,481.27801513671875
bel,m,1988,352.656005859375
bel,f,1988,128.6219940185547
bel,mf,1989,522.8350219726562
bel,m,1989,387.510986328125
bel,f,1989,135.32400512695312
bel,mf,1990,522.2919921875
bel,m,1990,383.2099914550781
bel,f,1990,139.08200073242188
bel,mf,1991,503.4540100097656
bel,m,1991,363.2919921875
bel,f,1991,140.16200256347656
bel,mf,1992,508.2250061035156
bel,m,1992,360.18499755859375
bel,f,1992,148.03900146484375
bel,mf,1993,498.1610107421875
bel,m,1993,352.4649963378906
bel,f,1993,145.69500732421875
bel,mf,1994,514.5330200195312
bel,m,1994,368.7179870605469
bel,f,1994,145.8159942626953
bel,mf,1995,511.87200927734375
bel,m,1995,355.4549865722656
bel,f,1995,156.41700744628906
bel,mf,1996,514.8369750976562
bel,m,1996,364.2569885253906
bel,f,1996,150.5800018310547
bel,mf,1997,516.4760131835938
bel,m,1997,366.37799072265625
bel,f,1997,150.09800720214844
bel,mf,1998,523.4710083007812
bel,m,1998,363.9280090332031
bel,f,1998,159.54400634765625
bel,mf,1999,412.54998779296875
bel,m,1999,270.8689880371094
bel,f,1999,141.68099975585938
bel,mf,2000,388.4469909667969
bel,m,2000,261.2040100097656
bel,f,2000,127.24299621582031
