country,sex,year,wage_salaried_workers_employees_000
bol,f,2003,505.17498779296875
bol,mf,2004,1509.6519775390625
bol,m,2004,1004.4769897460938
bol,f,2004,505.17498779296875
bol,mf,2005,1480.136962890625
bol,m,2005,975.1729736328125
bol,f,2005,504.9639892578125
bol,mf,2006,1572.68798828125
bol,m,2006,982.5969848632812
bol,f,2006,590.0910034179688
bol,mf,2007,1586.300048828125
bol,m,2007,1109.9000244140625
bol,f,2007,476.3999938964844
bol,mf,2008,1825.93701171875
bol,m,2008,1145.1939697265625
bol,f,2008,680.7429809570312
bol,mf,2009,2016.0179443359375
bol,m,2009,1278.822998046875
bol,f,2009,737.1950073242188
bol,mf,2011,1974.487060546875
bol,m,2011,1250.633056640625
bol,f,2011,723.85400390625
bih,mf,2006,588.0
bih,m,2006,381.0
bih,f,2006,207.0
bih,mf,2007,620.0
bih,m,2007,405.0
bih,f,2007,215.0
bih,mf,2008,645.0
bih,m,2008,416.0
bih,f,2008,230.0
bih,mf,2009,625.0
bih,m,2009,401.0
bih,f,2009,224.0
bih,mf,2010,620.0
bih,m,2010,395.0
bih,f,2010,224.0
bih,mf,2011,610.0
bih,m,2011,385.0
bih,f,2011,225.0
bih,mf,2012,591.0
bih,m,2012,374.0
bih,f,2012,217.0
bih,mf,2013,613.0
bih,m,2013,380.0
bih,f,2013,233.0
bwa,mf,1984,123.19999694824219
bwa,m,1984,74.2699966430664
bwa,f,1984,48.93000030517578
bwa,mf,1994,243.91400146484375
bwa,m,1994,135.15899658203125
bwa,f,1994,108.75499725341797
bwa,mf,2006,326.1000061035156
bwa,m,2006,175.3000030517578
bwa,f,2006,150.8000030517578
bwa,mf,2010,394.8869934082031
bwa,m,2010,221.73399353027344
bwa,f,2010,173.1529998779297
bra,mf,1990,38995.12109375
bra,m,1990,24580.640625
bra,f,1990,14414.48046875
bra,mf,1992,37483.8515625
bra,m,1992,22953.69921875
bra,f,1992,14530.150390625
bra,mf,1993,38383.5
bra,m,1993,23399.640625
bra,f,1993,14983.8701171875
bra,mf,1995,39844.73046875
bra,m,1995,23811.240234375
bra,f,1995,16033.48046875
bra,mf,1996,40317.66015625
bra,m,1996,23935.9609375
bra,f,1996,16381.7001953125
bra,mf,2000,43694.12890625
bra,m,2000,25484.48046875
bra,f,2000,18209.650390625
bra,mf,2001,47234.0
bra,m,2001,27123.0
bra,f,2001,20110.0
bra,mf,2002,48955.0
bra,m,2002,27943.0
bra,f,2002,21012.0
bra,mf,2003,49756.0
bra,m,2003,28208.0
bra,f,2003,21548.0
bra,mf,2004,53172.0
bra,m,2004,30012.0
bra,f,2004,23161.0
bra,mf,2005,54709.0
bra,m,2005,30934.0
bra,f,2005,23774.0
bra,mf,2006,56838.0
bra,m,2006,31811.0
bra,f,2006,25027.0
bra,mf,2007,58815.0
bra,m,2007,32980.0
bra,f,2007,25835.0
bra,mf,2008,60813.08984375
bra,m,2008,34133.96875
bra,f,2008,26679.119140625
bra,mf,2009,61536.671875
bra,m,2009,34217.46875
bra,f,2009,27319.19921875
bra,mf,2011,63591.9609375
bra,m,2011,35145.66015625
bra,f,2011,28446.30078125
bra,mf,2012,64943.609375
bra,m,2012,35783.33984375
bra,f,2012,29160.279296875
bra,mf,2013,66375.2421875
bra,m,2013,36366.5390625
bra,f,2013,30008.69921875
vgb,mf,1991,7.5320000648498535
vgb,m,1991,4.0879998207092285
vgb,f,1991,3.444000005722046
brn,mf,1991,101.33699798583984
brn,m,1991,68.26899719238281
brn,f,1991,33.06800079345703
bgr,mf,2000,2387.909912109375
bgr,m,2000,1226.7740478515625
bgr,f,2000,1161.136962890625
bgr,mf,2001,2321.9560546875
bgr,m,2001,1169.3370361328125
bgr,f,2001,1152.6190185546875
bgr,mf,2002,2364.074951171875
bgr,m,2002,1198.968994140625
bgr,f,2002,1165.10595703125
bgr,mf,2003,2409.52490234375
bgr,m,2003,1229.7989501953125
bgr,f,2003,1179.72705078125
bgr,mf,2004,2490.52294921875
bgr,m,2004,1274.468017578125
bgr,f,2004,1216.0550537109375
bgr,mf,2005,2556.6708984375
bgr,m,2005,1323.0009765625
bgr,f,2005,1233.6700439453125
bgr,mf,2006,2701.468994140625
bgr,m,2006,1390.7869873046875
bgr,f,2006,1310.6820068359375
bgr,mf,2007,2848.9169921875
bgr,m,2007,1470.760009765625
bgr,f,2007,1378.156982421875
bgr,mf,2008,2943.81396484375
bgr,m,2008,1529.9119873046875
bgr,f,2008,1413.9019775390625
bgr,mf,2009,2847.56201171875
