country,sex,year,employers_percentage
bhr,f,2004,0.699999988079071
bhr,mf,2005,1.899999976158142
bhr,m,2005,2.200000047683716
bhr,f,2005,0.6000000238418579
bhr,mf,2006,1.899999976158142
bhr,m,2006,2.200000047683716
bhr,f,2006,0.6000000238418579
bhr,mf,2007,1.7999999523162842
bhr,m,2007,2.0999999046325684
bhr,f,2007,0.6000000238418579
bhr,mf,2008,1.7999999523162842
bhr,m,2008,2.0999999046325684
bhr,f,2008,0.6000000238418579
bhr,mf,2009,1.7999999523162842
bhr,m,2009,2.0
bhr,f,2009,0.6000000238418579
bhr,mf,2010,1.7999999523162842
bhr,m,2010,2.0999999046325684
bhr,f,2010,0.6000000238418579
bgd,mf,1996,0.30000001192092896
bgd,m,1996,0.30000001192092896
bgd,f,1996,0.10000000149011612
bgd,mf,2000,0.20000000298023224
bgd,m,2000,0.30000001192092896
bgd,f,2000,0.10000000149011612
bgd,mf,2003,0.4000000059604645
bgd,m,2003,0.4000000059604645
bgd,f,2003,0.20000000298023224
bgd,mf,2005,0.30000001192092896
bgd,m,2005,0.30000001192092896
bgd,f,2005,0.10000000149011612
bgd,mf,2010,0.20000000298023224
bgd,m,2010,0.20000000298023224
bgd,f,2010,0.20000000298023224
bgd,mf,2011,2.5
bgd,m,2011,2.700000047683716
bgd,f,2011,1.7000000476837158
brb,mf,1990,0.8999999761581421
brb,m,1990,1.0
brb,f,1990,0.6000000238418579
brb,mf,1991,0.8999999761581421
brb,m,1991,1.2000000476837158
brb,f,1991,0.4000000059604645
brb,mf,1992,0.6000000238418579
brb,m,1992,1.0
brb,f,1992,0.20000000298023224
brb,mf,1993,0.8999999761581421
brb,m,1993,1.399999976158142
brb,f,1993,0.5
brb,mf,1994,0.699999988079071
brb,m,1994,1.100000023841858
brb,f,1994,0.4000000059604645
brb,mf,1995,0.5
brb,m,1995,0.699999988079071
brb,f,1995,0.20000000298023224
brb,mf,1996,0.30000001192092896
brb,m,1996,0.30000001192092896
brb,f,1996,0.20000000298023224
brb,mf,1997,0.30000001192092896
brb,m,1997,0.5
brb,f,1997,0.20000000298023224
brb,mf,1998,0.6000000238418579
brb,m,1998,0.800000011920929
brb,f,1998,0.5
brb,mf,1999,0.30000001192092896
brb,m,1999,0.4000000059604645
brb,f,1999,0.20000000298023224
brb,mf,2000,0.20000000298023224
brb,m,2000,0.30000001192092896
brb,f,2000,0.20000000298023224
brb,mf,2001,0.6000000238418579
brb,m,2001,0.8999999761581421
brb,f,2001,0.30000001192092896
brb,mf,2002,0.4000000059604645
brb,m,2002,0.4000000059604645
brb,f,2002,0.20000000298023224
brb,mf,2003,0.800000011920929
brb,m,2003,1.0
brb,f,2003,0.5
brb,mf,2004,1.2000000476837158
brb,m,2004,1.899999976158142
brb,f,2004,0.5
brb,mf,2013,0.8999999761581421
brb,m,2013,1.100000023841858
brb,f,2013,0.6000000238418579
blr,mf,2009,1.100000023841858
blr,m,2009,1.399999976158142
blr,f,2009,0.699999988079071
bel,mf,1983,1.7999999523162842
bel,m,1983,2.5
bel,f,1983,0.5
bel,mf,1984,1.7000000476837158
bel,m,1984,2.299999952316284
bel,f,1984,0.5
bel,mf,1985,1.7000000476837158
bel,m,1985,2.299999952316284
bel,f,1985,0.5
bel,mf,1986,1.7999999523162842
bel,m,1986,2.5999999046325684
bel,f,1986,0.5
bel,mf,1987,1.5
bel,m,1987,2.0999999046325684
bel,f,1987,0.4000000059604645
bel,mf,1988,1.399999976158142
bel,m,1988,1.899999976158142
bel,f,1988,0.4000000059604645
bel,mf,1989,1.5
bel,m,1989,2.0999999046325684
bel,f,1989,0.5
bel,mf,1990,1.7000000476837158
bel,m,1990,2.299999952316284
bel,f,1990,0.6000000238418579
bel,mf,1991,1.399999976158142
bel,m,1991,2.0
bel,f,1991,0.4000000059604645
bel,mf,1992,1.600000023841858
bel,m,1992,2.299999952316284
bel,f,1992,0.5
bel,mf,1993,2.0999999046325684
bel,m,1993,3.0
bel,f,1993,0.800000011920929
bel,mf,1994,1.600000023841858
bel,m,1994,2.4000000953674316
bel,f,1994,0.5
bel,mf,1995,1.899999976158142
bel,m,1995,2.700000047683716
bel,f,1995,0.699999988079071
bel,mf,1996,1.7999999523162842
bel,m,1996,2.700000047683716
bel,f,1996,0.6000000238418579
bel,mf,1997,1.399999976158142
bel,m,1997,2.0999999046325684
bel,f,1997,0.4000000059604645
bel,mf,1998,1.7999999523162842
bel,m,1998,2.5
bel,f,1998,0.800000011920929
bel,mf,1999,4.5
bel,m,1999,6.0
bel,f,1999,2.299999952316284
bel,mf,2000,4.5
bel,m,2000,6.199999809265137
bel,f,2000,2.299999952316284
bel,mf,2001,4.5
bel,m,2001,6.300000190734863
bel,f,2001,2.0
bel,mf,2002,4.0
bel,m,2002,5.5
bel,f,2002,2.0999999046325684
bel,mf,2003,4.099999904632568
bel,m,2003,5.699999809265137
bel,f,2003,2.0999999046325684
bel,mf,2004,4.5
bel,m,2004,6.300000190734863
bel,f,2004,2.200000047683716
bel,mf,2005,4.599999904632568
bel,m,2005,6.5
bel,f,2005,2.299999952316284
bel,mf,2006,4.699999809265137
bel,m,2006,6.400000095367432
bel,f,2006,2.4000000953674316
bel,mf,2007,4.5
bel,m,2007,6.300000190734863
bel,f,2007,2.299999952316284
bel,mf,2008,4.199999809265137
bel,m,2008,5.900000095367432
bel,f,2008,2.0999999046325684
bel,mf,2009,4.5
bel,m,2009,6.300000190734863
bel,f,2009,2.299999952316284
bel,mf,2010,4.5
bel,m,2010,6.199999809265137
bel,f,2010,2.4000000953674316
bel,mf,2011,4.099999904632568
bel,m,2011,6.0
bel,f,2011,1.899999976158142
bel,mf,2012,4.099999904632568
bel,m,2012,5.800000190734863
bel,f,2012,2.0999999046325684
bel,mf,2013,4.300000190734863
bel,m,2013,6.0
bel,f,2013,2.299999952316284
bel,mf,2014,4.099999904632568
bel,m,2014,5.599999904632568
bel,f,2014,2.4000000953674316
blz,mf,1995,6.099999904632568
blz,m,1995,7.599999904632568
blz,f,1995,2.700000047683716
blz,mf,1996,7.400000095367432
blz,m,1996,8.899999618530273
blz,f,1996,3.9000000953674316
blz,mf,2005,7.099999904632568
blz,m,2005,8.399999618530273
blz,f,2005,4.5
ben,mf,2010,1.2000000476837158
ben,m,2010,1.899999976158142
ben,f,2010,0.5
bmu,mf,2009,5.699999809265137
bmu,m,2009,8.399999618530273
bmu,f,2009,3.200000047683716
bmu,mf,2010,3.5
bmu,m,2010,5.0
bmu,f,2010,1.899999976158142
bmu,mf,2012,9.699999809265137
bmu,m,2012,11.199999809265137
bmu,f,2012,8.199999809265137
btn,mf,2006,0.20000000298023224
btn,m,2006,0.30000001192092896
btn,f,2006,0.0
btn,mf,2009,0.20000000298023224
btn,m,2009,0.30000001192092896
btn,f,2009,0.20000000298023224
btn,mf,2010,0.10000000149011612
btn,m,2010,0.10000000149011612
btn,f,2010,0.10000000149011612
btn,mf,2011,0.20000000298023224
btn,m,2011,0.20000000298023224
btn,f,2011,0.20000000298023224
btn,mf,2012,19.5
btn,m,2012,20.799999237060547
btn,f,2012,18.200000762939453
bol,mf,1989,2.200000047683716
bol,m,1989,3.200000047683716
bol,f,1989,0.800000011920929
bol,mf,1990,3.5
bol,m,1990,5.0
bol,f,1990,1.5
bol,mf,1991,4.300000190734863
bol,m,1991,6.0
bol,f,1991,1.7999999523162842
bol,mf,1992,5.599999904632568
bol,m,1992,7.699999809265137
bol,f,1992,2.5999999046325684
bol,mf,1993,6.300000190734863
bol,m,1993,9.0
bol,f,1993,2.9000000953674316
bol,mf,1994,7.599999904632568
bol,m,1994,10.699999809265137
bol,f,1994,3.5
bol,mf,1995,7.800000190734863
bol,m,1995,11.300000190734863
bol,f,1995,3.299999952316284
bol,mf,1996,8.199999809265137
bol,m,1996,11.800000190734863
bol,f,1996,3.799999952316284
bol,mf,1997,7.099999904632568
bol,m,1997,10.300000190734863
bol,f,1997,2.799999952316284
bol,mf,1999,2.9000000953674316
bol,m,1999,4.199999809265137
bol,f,1999,1.399999976158142
bol,mf,2000,1.899999976158142
bol,m,2000,2.700000047683716
bol,f,2000,1.0
bol,mf,2001,2.200000047683716
bol,m,2001,2.9000000953674316
bol,f,2001,1.399999976158142
bol,mf,2002,4.400000095367432
bol,m,2002,6.300000190734863
bol,f,2002,2.0
bol,mf,2003,4.800000190734863
bol,m,2003,7.099999904632568
bol,f,2003,1.899999976158142
bol,mf,2004,4.800000190734863
bol,m,2004,7.099999904632568
bol,f,2004,1.899999976158142
bol,mf,2005,5.300000190734863
bol,m,2005,7.199999809265137
bol,f,2005,2.9000000953674316
bol,mf,2006,4.400000095367432
bol,m,2006,6.300000190734863
bol,f,2006,2.0999999046325684
bol,mf,2007,5.400000095367432
bol,m,2007,7.199999809265137
bol,f,2007,3.200000047683716
bol,mf,2008,5.699999809265137
bol,m,2008,8.100000381469727
bol,f,2008,2.9000000953674316
bol,mf,2009,4.800000190734863
bol,m,2009,6.599999904632568
bol,f,2009,2.700000047683716
bol,mf,2011,5.800000190734863
bol,m,2011,8.0
bol,f,2011,3.0
bwa,mf,1984,0.6000000238418579
bwa,m,1984,0.699999988079071
bwa,f,1984,0.5
bwa,mf,1994,1.7000000476837158
bwa,m,1994,2.0999999046325684
bwa,f,1994,1.2000000476837158
bwa,mf,2006,3.700000047683716
bwa,m,2006,4.800000190734863
bwa,f,2006,2.5
bwa,mf,2010,2.700000047683716
bwa,m,2010,3.200000047683716
bwa,f,2010,2.0999999046325684
bra,mf,1990,4.800000190734863
bra,m,1990,6.300000190734863
bra,f,1990,2.0999999046325684
bra,mf,1992,3.9000000953674316
bra,m,1992,5.300000190734863
bra,f,1992,1.600000023841858
bra,mf,1993,3.799999952316284
bra,m,1993,5.199999809265137
bra,f,1993,1.600000023841858
bra,mf,1995,4.099999904632568
bra,m,1995,5.5
bra,f,1995,2.0
bra,mf,1996,3.799999952316284
bra,m,1996,4.900000095367432
bra,f,1996,2.0999999046325684
bra,mf,2000,2.9000000953674316
bra,m,2000,3.5
bra,f,2000,2.0
bra,mf,2001,4.199999809265137
bra,m,2001,5.400000095367432
bra,f,2001,2.4000000953674316
bra,mf,2002,4.199999809265137
bra,m,2002,5.400000095367432
bra,f,2002,2.700000047683716
bra,mf,2003,4.199999809265137
bra,m,2003,5.400000095367432
bra,f,2003,2.5
bra,mf,2004,4.099999904632568
bra,m,2004,5.199999809265137
bra,f,2004,2.5
bra,mf,2005,4.199999809265137
bra,m,2005,5.400000095367432
bra,f,2005,2.5999999046325684
bra,mf,2006,4.5
bra,m,2006,5.699999809265137
bra,f,2006,2.799999952316284
bra,mf,2007,3.799999952316284
bra,m,2007,4.800000190734863
bra,f,2007,2.4000000953674316
bra,mf,2008,4.5
bra,m,2008,5.599999904632568
bra,f,2008,2.9000000953674316
bra,mf,2009,4.300000190734863
bra,m,2009,5.5
bra,f,2009,2.700000047683716
bra,mf,2011,3.4000000953674316
bra,m,2011,4.199999809265137
bra,f,2011,2.299999952316284
bra,mf,2012,3.799999952316284
bra,m,2012,4.599999904632568
bra,f,2012,2.5999999046325684
bra,mf,2013,3.700000047683716
bra,m,2013,4.699999809265137
bra,f,2013,2.5
vgb,mf,1991,5.800000190734863
vgb,m,1991,7.300000190734863
vgb,f,1991,3.9000000953674316
brn,mf,1991,1.0
brn,m,1991,1.2000000476837158
brn,f,1991,0.5
bgr,mf,2000,2.4000000953674316
bgr,m,2000,3.299999952316284
bgr,f,2000,1.2999999523162842
bgr,mf,2001,3.5999999046325684
bgr,m,2001,5.199999809265137
bgr,f,2001,1.7999999523162842
bgr,mf,2002,3.4000000953674316
bgr,m,2002,4.699999809265137
bgr,f,2002,1.899999976158142
bgr,mf,2003,3.5999999046325684
bgr,m,2003,5.099999904632568
bgr,f,2003,1.899999976158142
bgr,mf,2004,3.799999952316284
bgr,m,2004,5.199999809265137
bgr,f,2004,2.200000047683716
bgr,mf,2005,3.799999952316284
bgr,m,2005,5.199999809265137
bgr,f,2005,2.299999952316284
bgr,mf,2006,3.9000000953674316
bgr,m,2006,5.5
bgr,f,2006,2.200000047683716
bgr,mf,2007,4.099999904632568
bgr,m,2007,5.5
bgr,f,2007,2.299999952316284
bgr,mf,2008,3.700000047683716
bgr,m,2008,4.900000095367432
bgr,f,2008,2.299999952316284
bgr,mf,2009,3.5
bgr,m,2009,4.699999809265137
bgr,f,2009,2.0999999046325684
bgr,mf,2010,3.799999952316284
bgr,m,2010,5.0
bgr,f,2010,2.4000000953674316
bgr,mf,2011,3.5999999046325684
bgr,m,2011,4.800000190734863
bgr,f,2011,2.299999952316284
bgr,mf,2012,3.5999999046325684
bgr,m,2012,4.800000190734863
bgr,f,2012,2.200000047683716
bgr,mf,2013,3.9000000953674316
bgr,m,2013,5.400000095367432
bgr,f,2013,2.299999952316284
bgr,mf,2014,3.799999952316284
bgr,m,2014,5.199999809265137
bgr,f,2014,2.200000047683716
bfa,mf,1985,0.0
bfa,m,1985,0.10000000149011612
bfa,f,1985,0.0
