country,sex,year,wage_salaried_workers_employees_percentage
bgd,mf,1996,12.399999618530273
bgd,m,1996,14.699999809265137
bgd,f,1996,8.699999809265137
bgd,mf,2000,12.600000381469727
bgd,m,2000,15.199999809265137
bgd,f,2000,8.300000190734863
bgd,mf,2003,13.699999809265137
bgd,m,2003,13.800000190734863
bgd,f,2003,13.300000190734863
bgd,mf,2005,13.899999618530273
bgd,m,2005,14.5
bgd,f,2005,11.699999809265137
bgd,mf,2010,14.600000381469727
bgd,m,2010,17.0
bgd,f,2010,8.899999618530273
bgd,mf,2011,29.399999618530273
bgd,m,2011,26.5
bgd,f,2011,49.20000076293945
brb,mf,1990,87.5
brb,m,1990,84.5999984741211
brb,f,1990,90.69999694824219
brb,mf,1991,87.4000015258789
brb,m,1991,84.0999984741211
brb,f,1991,91.19999694824219
brb,mf,1992,87.0
brb,m,1992,83.80000305175781
brb,f,1992,90.5999984741211
brb,mf,1993,85.80000305175781
brb,m,1993,82.4000015258789
brb,f,1993,89.80000305175781
brb,mf,1994,86.5999984741211
brb,m,1994,83.5999984741211
brb,f,1994,90.0
brb,mf,1995,86.80000305175781
brb,m,1995,83.9000015258789
brb,f,1995,90.19999694824219
brb,mf,1996,86.19999694824219
brb,m,1996,83.5999984741211
brb,f,1996,89.19999694824219
brb,mf,1997,87.0999984741211
brb,m,1997,83.5999984741211
brb,f,1997,91.0999984741211
brb,mf,1998,86.5999984741211
brb,m,1998,83.4000015258789
brb,f,1998,90.4000015258789
brb,mf,1999,85.5
brb,m,1999,81.4000015258789
brb,f,1999,90.30000305175781
brb,mf,2000,87.0
brb,m,2000,82.5999984741211
brb,f,2000,91.80000305175781
brb,mf,2001,85.5999984741211
brb,m,2001,81.30000305175781
brb,f,2001,90.5999984741211
brb,mf,2002,85.5999984741211
brb,m,2002,81.0999984741211
brb,f,2002,90.5
brb,mf,2003,85.30000305175781
brb,m,2003,80.0999984741211
brb,f,2003,91.0999984741211
brb,mf,2004,84.4000015258789
brb,m,2004,79.5
brb,f,2004,89.5
brb,mf,2013,83.19999694824219
brb,m,2013,78.4000015258789
brb,f,2013,88.19999694824219
blr,mf,2009,94.19999694824219
blr,m,2009,93.5
blr,f,2009,94.9000015258789
bel,mf,1980,83.4000015258789
bel,m,1980,83.9000015258789
bel,f,1980,82.5
bel,mf,1981,83.0
bel,m,1981,83.4000015258789
bel,f,1981,82.30000305175781
bel,mf,1982,82.69999694824219
bel,m,1982,83.0
bel,f,1982,82.19999694824219
bel,mf,1983,81.5999984741211
bel,m,1983,82.0999984741211
bel,f,1983,80.80000305175781
bel,mf,1984,80.0
bel,m,1984,80.80000305175781
bel,f,1984,78.5
bel,mf,1985,80.0
bel,m,1985,80.30000305175781
bel,f,1985,79.5
bel,mf,1986,80.9000015258789
bel,m,1986,80.9000015258789
bel,f,1986,80.9000015258789
bel,mf,1987,81.5999984741211
bel,m,1987,81.0
bel,f,1987,82.69999694824219
bel,mf,1988,82.0
bel,m,1988,81.30000305175781
bel,f,1988,83.4000015258789
bel,mf,1989,80.80000305175781
bel,m,1989,79.80000305175781
bel,f,1989,82.5
bel,mf,1990,81.0999984741211
bel,m,1990,79.9000015258789
bel,f,1990,83.0
bel,mf,1991,82.69999694824219
bel,m,1991,81.5
bel,f,1991,84.69999694824219
bel,mf,1992,82.0999984741211
bel,m,1992,81.19999694824219
bel,f,1992,83.5999984741211
bel,mf,1993,82.0999984741211
bel,m,1993,80.80000305175781
bel,f,1993,84.0
bel,mf,1994,82.30000305175781
bel,m,1994,80.69999694824219
bel,f,1994,84.69999694824219
bel,mf,1995,82.0999984741211
bel,m,1995,81.0
bel,f,1995,83.5999984741211
bel,mf,1996,82.0
bel,m,1996,80.5999984741211
bel,f,1996,84.19999694824219
bel,mf,1997,82.80000305175781
bel,m,1997,81.30000305175781
bel,f,1997,84.9000015258789
bel,mf,1998,82.5999984741211
bel,m,1998,81.0
bel,f,1998,85.0
bel,mf,1999,82.69999694824219
bel,m,1999,81.80000305175781
bel,f,1999,84.0
bel,mf,2000,84.0
bel,m,2000,82.30000305175781
bel,f,2000,86.19999694824219
bel,mf,2001,84.80000305175781
bel,m,2001,83.19999694824219
bel,f,2001,87.0
bel,mf,2002,84.5999984741211
bel,m,2002,83.0999984741211
bel,f,2002,86.5
bel,mf,2003,84.80000305175781
bel,m,2003,83.0
bel,f,2003,87.30000305175781
bel,mf,2004,85.30000305175781
bel,m,2004,83.0
bel,f,2004,88.30000305175781
bel,mf,2005,84.80000305175781
bel,m,2005,82.5
bel,f,2005,87.69999694824219
bel,mf,2006,84.9000015258789
bel,m,2006,82.4000015258789
bel,f,2006,88.19999694824219
bel,mf,2007,85.19999694824219
bel,m,2007,82.5999984741211
bel,f,2007,88.5
bel,mf,2008,85.80000305175781
bel,m,2008,83.0
bel,f,2008,89.19999694824219
bel,mf,2009,85.19999694824219
bel,m,2009,82.30000305175781
bel,f,2009,88.69999694824219
bel,mf,2010,85.5999984741211
bel,m,2010,82.69999694824219
bel,f,2010,89.19999694824219
bel,mf,2011,85.69999694824219
bel,m,2011,82.5
bel,f,2011,89.5
bel,mf,2012,85.69999694824219
bel,m,2012,82.4000015258789
bel,f,2012,89.5
bel,mf,2013,84.9000015258789
bel,m,2013,81.19999694824219
bel,f,2013,89.30000305175781
bel,mf,2014,85.4000015258789
bel,m,2014,82.0999984741211
bel,f,2014,89.0999984741211
blz,mf,1993,70.4000015258789
blz,m,1993,67.80000305175781
blz,f,1993,76.30000305175781
blz,mf,1994,69.4000015258789
blz,m,1994,66.9000015258789
blz,f,1994,75.19999694824219
blz,mf,1995,68.30000305175781
blz,m,1995,65.5
blz,f,1995,74.69999694824219
blz,mf,1996,65.5999984741211
blz,m,1996,61.70000076293945
blz,f,1996,75.0999984741211
blz,mf,1997,64.5
blz,m,1997,61.79999923706055
blz,f,1997,70.5999984741211
blz,mf,1998,66.5999984741211
blz,m,1998,64.0
blz,f,1998,72.30000305175781
blz,mf,1999,65.0
blz,m,1999,62.099998474121094
blz,f,1999,71.5
blz,mf,2005,69.30000305175781
blz,m,2005,66.9000015258789
blz,f,2005,73.9000015258789
ben,mf,2003,10.100000381469727
ben,m,2003,16.299999237060547
ben,f,2003,4.199999809265137
ben,mf,2010,8.100000381469727
ben,m,2010,12.5
